seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha
26,5,1,2,0,6,50,1.0,1,0,Mu1-const,1RAI,0.6
51,10,1,2,0,11,200,1.0,2,1,Mu1-const,1RAI,0.6
126,25,1,2,0,24,1250,1.0,14,9,Mu1-const,1RAI,0.6
251,50,1,2,0,72,5000,1.0,37,24,Mu1-const,1RAI,0.6
2674,25,3,2,10,92,1250,1.0,10,0,Mu1-const,1RAI,0.6
33,5,1,2,1,6,50,1.0,0,0,Mu1-const,1RAI,0.6
63,10,1,2,1,18,200,1.0,1,0,Mu1-const,1RAI,0.6
153,25,1,2,1,44,1250,1.0,16,9,Mu1-const,1RAI,0.6
1011,10,1,10,0,1000,1000,0.956177,2,0,Mu1-const,1RAI,0.6
303,50,1,2,1,95,5000,1.0,40,29,Mu1-const,1RAI,0.6
3203,25,3,2,11,62,1250,1.0,8,0,Mu1-const,1RAI,0.6
50,5,1,2,2,6,50,1.0,0,0,Mu1-const,1RAI,0.6
95,10,1,2,2,10,200,1.0,2,0,Mu1-const,1RAI,0.6
230,25,1,2,2,46,1250,1.0,14,4,Mu1-const,1RAI,0.6
455,50,1,2,2,104,5000,1.0,40,26,Mu1-const,1RAI,0.6
3782,25,3,2,12,42,1250,1.0,7,0,Mu1-const,1RAI,0.6
77,5,1,2,3,2,50,1.0,0,0,Mu1-const,1RAI,0.6
147,10,1,2,3,14,200,1.0,1,0,Mu1-const,1RAI,0.6
357,25,1,2,3,55,1250,1.0,14,7,Mu1-const,1RAI,0.6
707,50,1,2,3,78,5000,1.0,36,30,Mu1-const,1RAI,0.6
1023,10,1,10,1,1000,1000,0.953151,1,0,Mu1-const,1RAI,0.6
4411,25,3,2,13,48,1250,1.0,8,0,Mu1-const,1RAI,0.6
114,5,1,2,4,2,50,1.0,0,0,Mu1-const,1RAI,0.6
219,10,1,2,4,10,200,1.0,1,0,Mu1-const,1RAI,0.6
534,25,1,2,4,29,1250,1.0,16,5,Mu1-const,1RAI,0.6
1059,50,1,2,4,94,5000,1.0,37,28,Mu1-const,1RAI,0.6
5090,25,3,2,14,44,1250,1.0,5,0,Mu1-const,1RAI,0.6
161,5,1,2,5,4,50,1.0,0,0,Mu1-const,1RAI,0.6
311,10,1,2,5,4,200,1.0,0,0,Mu1-const,1RAI,0.6
761,25,1,2,5,28,1250,1.0,16,8,Mu1-const,1RAI,0.6
1511,50,1,2,5,88,5000,1.0,39,27,Mu1-const,1RAI,0.6
5819,25,3,2,15,47,1250,1.0,11,0,Mu1-const,1RAI,0.6
218,5,1,2,6,3,50,1.0,0,0,Mu1-const,1RAI,0.6
423,10,1,2,6,5,200,1.0,1,0,Mu1-const,1RAI,0.6
1038,25,1,2,6,32,1250,1.0,18,8,Mu1-const,1RAI,0.6
1055,10,1,10,2,1000,1000,0.947622,2,0,Mu1-const,1RAI,0.6
2063,50,1,2,6,181,5000,1.0,36,23,Mu1-const,1RAI,0.6
6598,25,3,2,16,45,1250,1.0,6,0,Mu1-const,1RAI,0.6
285,5,1,2,7,3,50,1.0,0,0,Mu1-const,1RAI,0.6
555,10,1,2,7,8,200,1.0,1,0,Mu1-const,1RAI,0.6
1365,25,1,2,7,29,1250,1.0,12,7,Mu1-const,1RAI,0.6
2715,50,1,2,7,142,5000,1.0,38,26,Mu1-const,1RAI,0.6
7427,25,3,2,17,45,1250,1.0,6,0,Mu1-const,1RAI,0.6
362,5,1,2,8,3,50,1.0,2,0,Mu1-const,1RAI,0.6
707,10,1,2,8,10,200,1.0,2,0,Mu1-const,1RAI,0.6
1742,25,1,2,8,29,1250,1.0,15,7,Mu1-const,1RAI,0.6
3467,50,1,2,8,92,5000,1.0,36,27,Mu1-const,1RAI,0.6
8306,25,3,2,18,76,1250,1.0,8,0,Mu1-const,1RAI,0.6
449,5,1,2,9,3,50,1.0,1,0,Mu1-const,1RAI,0.6
1107,10,1,10,3,1000,1000,0.962963,2,0,Mu1-const,1RAI,0.6
879,10,1,2,9,13,200,1.0,1,1,Mu1-const,1RAI,0.6
2169,25,1,2,9,38,1250,1.0,15,6,Mu1-const,1RAI,0.6
4319,50,1,2,9,111,5000,1.0,36,23,Mu1-const,1RAI,0.6
9235,25,3,2,19,61,1250,1.0,13,0,Mu1-const,1RAI,0.6
546,5,1,2,10,4,50,1.0,0,0,Mu1-const,1RAI,0.6
1071,10,1,2,10,13,200,1.0,1,0,Mu1-const,1RAI,0.6
2646,25,1,2,10,32,1250,1.0,17,8,Mu1-const,1RAI,0.6
5271,50,1,2,10,60,5000,1.0,33,24,Mu1-const,1RAI,0.6
10214,25,3,2,20,42,1250,1.0,5,0,Mu1-const,1RAI,0.6
653,5,1,2,11,6,50,1.0,1,0,Mu1-const,1RAI,0.6
1283,10,1,2,11,5,200,1.0,1,0,Mu1-const,1RAI,0.6
3173,25,1,2,11,61,1250,1.0,14,7,Mu1-const,1RAI,0.6
6323,50,1,2,11,101,5000,1.0,38,27,Mu1-const,1RAI,0.6
11243,25,3,2,21,57,1250,1.0,9,0,Mu1-const,1RAI,0.6
770,5,1,2,12,10,50,1.0,0,0,Mu1-const,1RAI,0.6
1515,10,1,2,12,9,200,1.0,2,1,Mu1-const,1RAI,0.6
3750,25,1,2,12,26,1250,1.0,12,6,Mu1-const,1RAI,0.6
7475,50,1,2,12,99,5000,1.0,38,24,Mu1-const,1RAI,0.6
12322,25,3,2,22,34,1250,1.0,12,0,Mu1-const,1RAI,0.6
897,5,1,2,13,4,50,1.0,0,0,Mu1-const,1RAI,0.6
1767,10,1,2,13,7,200,1.0,3,0,Mu1-const,1RAI,0.6
4377,25,1,2,13,51,1250,1.0,17,8,Mu1-const,1RAI,0.6
8727,50,1,2,13,59,5000,1.0,36,24,Mu1-const,1RAI,0.6
13451,25,3,2,23,60,1250,1.0,7,0,Mu1-const,1RAI,0.6
1034,5,1,2,14,3,50,1.0,1,0,Mu1-const,1RAI,0.6
2039,10,1,2,14,14,200,1.0,1,0,Mu1-const,1RAI,0.6
5054,25,1,2,14,36,1250,1.0,17,11,Mu1-const,1RAI,0.6
10079,50,1,2,14,94,5000,1.0,39,27,Mu1-const,1RAI,0.6
14630,25,3,2,24,105,1250,1.0,10,0,Mu1-const,1RAI,0.6
1181,5,1,2,15,2,50,1.0,0,0,Mu1-const,1RAI,0.6
1179,10,1,10,4,1000,1000,0.959428,2,1,Mu1-const,1RAI,0.6
2331,10,1,2,15,13,200,1.0,1,0,Mu1-const,1RAI,0.6
5781,25,1,2,15,25,1250,1.0,11,8,Mu1-const,1RAI,0.6
11531,50,1,2,15,85,5000,1.0,40,26,Mu1-const,1RAI,0.6
15859,25,3,2,25,64,1250,1.0,10,0,Mu1-const,1RAI,0.6
1338,5,1,2,16,2,50,1.0,0,0,Mu1-const,1RAI,0.6
2643,10,1,2,16,10,200,1.0,4,2,Mu1-const,1RAI,0.6
6558,25,1,2,16,49,1250,1.0,14,6,Mu1-const,1RAI,0.6
13083,50,1,2,16,102,5000,1.0,36,25,Mu1-const,1RAI,0.6
17138,25,3,2,26,68,1250,1.0,7,0,Mu1-const,1RAI,0.6
1505,5,1,2,17,5,50,1.0,0,0,Mu1-const,1RAI,0.6
2975,10,1,2,17,14,200,1.0,1,0,Mu1-const,1RAI,0.6
7385,25,1,2,17,20,1250,1.0,10,7,Mu1-const,1RAI,0.6
14735,50,1,2,17,78,5000,1.0,37,27,Mu1-const,1RAI,0.6
18467,25,3,2,27,68,1250,1.0,8,0,Mu1-const,1RAI,0.6
1682,5,1,2,18,4,50,1.0,1,0,Mu1-const,1RAI,0.6
3327,10,1,2,18,18,200,1.0,3,0,Mu1-const,1RAI,0.6
8262,25,1,2,18,38,1250,1.0,11,6,Mu1-const,1RAI,0.6
16487,50,1,2,18,78,5000,1.0,38,26,Mu1-const,1RAI,0.6
19846,25,3,2,28,59,1250,1.0,11,0,Mu1-const,1RAI,0.6
1869,5,1,2,19,2,50,1.0,1,0,Mu1-const,1RAI,0.6
3699,10,1,2,19,7,200,1.0,0,0,Mu1-const,1RAI,0.6
9189,25,1,2,19,40,1250,1.0,16,6,Mu1-const,1RAI,0.6
18339,50,1,2,19,75,5000,1.0,36,25,Mu1-const,1RAI,0.6
21275,25,3,2,29,55,1250,1.0,10,0,Mu1-const,1RAI,0.6
2066,5,1,2,20,3,50,1.0,0,0,Mu1-const,1RAI,0.6
4091,10,1,2,20,10,200,1.0,1,0,Mu1-const,1RAI,0.6
10166,25,1,2,20,31,1250,1.0,16,9,Mu1-const,1RAI,0.6
20291,50,1,2,20,77,5000,1.0,39,26,Mu1-const,1RAI,0.6
150,25,5,2,0,63,1250,1.0,3,0,Mu1-const,1RAI,0.6
2273,5,1,2,21,9,50,1.0,1,0,Mu1-const,1RAI,0.6
4503,10,1,2,21,35,200,1.0,4,1,Mu1-const,1RAI,0.6
11193,25,1,2,21,20,1250,1.0,13,8,Mu1-const,1RAI,0.6
22343,50,1,2,21,104,5000,1.0,39,29,Mu1-const,1RAI,0.6
181,25,5,2,1,41,1250,1.0,9,0,Mu1-const,1RAI,0.6
1271,10,1,10,5,1000,1000,0.956177,2,0,Mu1-const,1RAI,0.6
2490,5,1,2,22,4,50,1.0,0,0,Mu1-const,1RAI,0.6
4935,10,1,2,22,13,200,1.0,2,0,Mu1-const,1RAI,0.6
12270,25,1,2,22,17,1250,1.0,12,7,Mu1-const,1RAI,0.6
24495,50,1,2,22,88,5000,1.0,35,25,Mu1-const,1RAI,0.6
262,25,5,2,2,80,1250,1.0,12,0,Mu1-const,1RAI,0.6
2717,5,1,2,23,7,50,1.0,0,0,Mu1-const,1RAI,0.6
5387,10,1,2,23,21,200,1.0,2,1,Mu1-const,1RAI,0.6
13397,25,1,2,23,52,1250,1.0,17,5,Mu1-const,1RAI,0.6
26747,50,1,2,23,90,5000,1.0,39,26,Mu1-const,1RAI,0.6
393,25,5,2,3,67,1250,1.0,7,0,Mu1-const,1RAI,0.6
2954,5,1,2,24,4,50,1.0,1,0,Mu1-const,1RAI,0.6
5859,10,1,2,24,22,200,1.0,3,0,Mu1-const,1RAI,0.6
14574,25,1,2,24,46,1250,1.0,17,9,Mu1-const,1RAI,0.6
29099,50,1,2,24,67,5000,1.0,38,27,Mu1-const,1RAI,0.6
574,25,5,2,4,45,1250,1.0,4,0,Mu1-const,1RAI,0.6
3201,5,1,2,25,2,50,1.0,1,0,Mu1-const,1RAI,0.6
6351,10,1,2,25,7,200,1.0,0,0,Mu1-const,1RAI,0.6
15801,25,1,2,25,55,1250,1.0,16,9,Mu1-const,1RAI,0.6
31551,50,1,2,25,52,5000,1.0,38,25,Mu1-const,1RAI,0.6
805,25,5,2,5,86,1250,1.0,7,0,Mu1-const,1RAI,0.6
3458,5,1,2,26,2,50,1.0,0,0,Mu1-const,1RAI,0.6
6863,10,1,2,26,8,200,1.0,1,0,Mu1-const,1RAI,0.6
17078,25,1,2,26,33,1250,1.0,15,9,Mu1-const,1RAI,0.6
34103,50,1,2,26,93,5000,1.0,38,25,Mu1-const,1RAI,0.6
1086,25,5,2,6,54,1250,1.0,9,0,Mu1-const,1RAI,0.6
3725,5,1,2,27,7,50,1.0,2,0,Mu1-const,1RAI,0.6
7395,10,1,2,27,8,200,1.0,4,0,Mu1-const,1RAI,0.6
18405,25,1,2,27,51,1250,1.0,13,7,Mu1-const,1RAI,0.6
36755,50,1,2,27,45,5000,1.0,38,27,Mu1-const,1RAI,0.6
1417,25,5,2,7,75,1250,1.0,2,0,Mu1-const,1RAI,0.6
4002,5,1,2,28,7,50,1.0,1,0,Mu1-const,1RAI,0.6
7947,10,1,2,28,6,200,1.0,2,0,Mu1-const,1RAI,0.6
19782,25,1,2,28,43,1250,1.0,15,5,Mu1-const,1RAI,0.6
1383,10,1,10,6,1000,1000,0.959428,2,0,Mu1-const,1RAI,0.6
39507,50,1,2,28,90,5000,1.0,35,28,Mu1-const,1RAI,0.6
1798,25,5,2,8,95,1250,1.0,6,0,Mu1-const,1RAI,0.6
4289,5,1,2,29,3,50,1.0,0,0,Mu1-const,1RAI,0.6
8519,10,1,2,29,10,200,1.0,1,0,Mu1-const,1RAI,0.6
21209,25,1,2,29,33,1250,1.0,12,8,Mu1-const,1RAI,0.6
42359,50,1,2,29,84,5000,1.0,32,23,Mu1-const,1RAI,0.6
2229,25,5,2,9,75,1250,1.0,8,0,Mu1-const,1RAI,0.6
34,5,3,2,0,7,50,1.0,0,0,Mu1-const,1RAI,0.6
59,10,3,2,0,17,200,1.0,0,0,Mu1-const,1RAI,0.6
134,25,3,2,0,72,1250,1.0,6,0,Mu1-const,1RAI,0.6
2710,25,5,2,10,54,1250,1.0,4,0,Mu1-const,1RAI,0.6
259,50,3,2,0,121,5000,1.0,21,7,Mu1-const,1RAI,0.6
43,5,3,2,1,2,50,1.0,0,0,Mu1-const,1RAI,0.6
73,10,3,2,1,12,200,1.0,1,0,Mu1-const,1RAI,0.6
163,25,3,2,1,42,1250,1.0,11,0,Mu1-const,1RAI,0.6
3241,25,5,2,11,74,1250,1.0,8,0,Mu1-const,1RAI,0.6
313,50,3,2,1,54,5000,1.0,22,5,Mu1-const,1RAI,0.6
62,5,3,2,2,2,50,1.0,0,0,Mu1-const,1RAI,0.6
107,10,3,2,2,7,200,1.0,0,0,Mu1-const,1RAI,0.6
242,25,3,2,2,72,1250,1.0,9,0,Mu1-const,1RAI,0.6
3822,25,5,2,12,41,1250,1.0,1,0,Mu1-const,1RAI,0.6
91,5,3,2,3,3,50,1.0,0,0,Mu1-const,1RAI,0.6
467,50,3,2,2,74,5000,1.0,24,2,Mu1-const,1RAI,0.6
161,10,3,2,3,17,200,1.0,0,0,Mu1-const,1RAI,0.6
371,25,3,2,3,42,1250,1.0,4,0,Mu1-const,1RAI,0.6
130,5,3,2,4,6,50,1.0,0,0,Mu1-const,1RAI,0.6
4453,25,5,2,13,112,1250,1.0,11,0,Mu1-const,1RAI,0.6
721,50,3,2,3,78,5000,1.0,26,7,Mu1-const,1RAI,0.6
235,10,3,2,4,13,200,1.0,1,0,Mu1-const,1RAI,0.6
550,25,3,2,4,66,1250,1.0,7,0,Mu1-const,1RAI,0.6
179,5,3,2,5,9,50,1.0,0,0,Mu1-const,1RAI,0.6
1515,10,1,10,7,1000,1000,0.962963,2,1,Mu1-const,1RAI,0.6
5134,25,5,2,14,116,1250,1.0,7,0,Mu1-const,1RAI,0.6
329,10,3,2,5,10,200,1.0,0,0,Mu1-const,1RAI,0.6
1075,50,3,2,4,100,5000,1.0,28,5,Mu1-const,1RAI,0.6
779,25,3,2,5,46,1250,1.0,5,0,Mu1-const,1RAI,0.6
238,5,3,2,6,7,50,1.0,1,0,Mu1-const,1RAI,0.6
443,10,3,2,6,17,200,1.0,0,0,Mu1-const,1RAI,0.6
5865,25,5,2,15,205,1250,1.0,8,0,Mu1-const,1RAI,0.6
1058,25,3,2,6,70,1250,1.0,11,0,Mu1-const,1RAI,0.6
1529,50,3,2,5,120,5000,1.0,30,4,Mu1-const,1RAI,0.6
307,5,3,2,7,7,50,1.0,0,0,Mu1-const,1RAI,0.6
577,10,3,2,7,13,200,1.0,1,0,Mu1-const,1RAI,0.6
6646,25,5,2,16,84,1250,1.0,6,0,Mu1-const,1RAI,0.6
1387,25,3,2,7,26,1250,1.0,9,0,Mu1-const,1RAI,0.6
386,5,3,2,8,3,50,1.0,0,0,Mu1-const,1RAI,0.6
731,10,3,2,8,18,200,1.0,0,0,Mu1-const,1RAI,0.6
2083,50,3,2,6,171,5000,1.0,31,10,Mu1-const,1RAI,0.6
7477,25,5,2,17,53,1250,1.0,1,0,Mu1-const,1RAI,0.6
1766,25,3,2,8,66,1250,1.0,11,0,Mu1-const,1RAI,0.6
475,5,3,2,9,3,50,1.0,0,0,Mu1-const,1RAI,0.6
905,10,3,2,9,34,200,1.0,4,0,Mu1-const,1RAI,0.6
8358,25,5,2,18,76,1250,1.0,8,0,Mu1-const,1RAI,0.6
2737,50,3,2,7,161,5000,1.0,27,7,Mu1-const,1RAI,0.6
2195,25,3,2,9,46,1250,1.0,10,0,Mu1-const,1RAI,0.6
574,5,3,2,10,6,50,1.0,0,0,Mu1-const,1RAI,0.6
1099,10,3,2,10,12,200,1.0,1,0,Mu1-const,1RAI,0.6
9289,25,5,2,19,102,1250,1.0,4,0,Mu1-const,1RAI,0.6
3491,50,3,2,8,120,5000,1.0,31,6,Mu1-const,1RAI,0.6
683,5,3,2,11,4,50,1.0,0,0,Mu1-const,1RAI,0.6
1313,10,3,2,11,10,200,1.0,1,0,Mu1-const,1RAI,0.6
10270,25,5,2,20,84,1250,1.0,4,0,Mu1-const,1RAI,0.6
1667,10,1,10,8,1000,1000,0.95031,1,0,Mu1-const,1RAI,0.6
802,5,3,2,12,5,50,1.0,0,0,Mu1-const,1RAI,0.6
4345,50,3,2,9,141,5000,1.0,30,12,Mu1-const,1RAI,0.6
1547,10,3,2,12,31,200,1.0,1,0,Mu1-const,1RAI,0.6
11301,25,5,2,21,90,1250,1.0,3,0,Mu1-const,1RAI,0.6
931,5,3,2,13,3,50,1.0,0,0,Mu1-const,1RAI,0.6
1801,10,3,2,13,25,200,1.0,1,0,Mu1-const,1RAI,0.6
5299,50,3,2,10,160,5000,1.0,24,4,Mu1-const,1RAI,0.6
12382,25,5,2,22,25,1250,1.0,3,0,Mu1-const,1RAI,0.6
1070,5,3,2,14,4,50,1.0,0,0,Mu1-const,1RAI,0.6
2075,10,3,2,14,18,200,1.0,2,0,Mu1-const,1RAI,0.6
13513,25,5,2,23,80,1250,1.0,10,0,Mu1-const,1RAI,0.6
6353,50,3,2,11,135,5000,1.0,29,8,Mu1-const,1RAI,0.6
1219,5,3,2,15,10,50,1.0,0,0,Mu1-const,1RAI,0.6
2369,10,3,2,15,26,200,1.0,0,0,Mu1-const,1RAI,0.6
14694,25,5,2,24,78,1250,1.0,3,0,Mu1-const,1RAI,0.6
1378,5,3,2,16,8,50,1.0,0,0,Mu1-const,1RAI,0.6
7507,50,3,2,12,118,5000,1.0,27,3,Mu1-const,1RAI,0.6
2683,10,3,2,16,23,200,1.0,0,0,Mu1-const,1RAI,0.6
1547,5,3,2,17,15,50,1.0,0,0,Mu1-const,1RAI,0.6
15925,25,5,2,25,114,1250,1.0,6,0,Mu1-const,1RAI,0.6
3017,10,3,2,17,19,200,1.0,0,0,Mu1-const,1RAI,0.6
8761,50,3,2,13,103,5000,1.0,27,9,Mu1-const,1RAI,0.6
1726,5,3,2,18,6,50,1.0,0,0,Mu1-const,1RAI,0.6
17206,25,5,2,26,89,1250,1.0,11,0,Mu1-const,1RAI,0.6
3371,10,3,2,18,22,200,1.0,0,0,Mu1-const,1RAI,0.6
1915,5,3,2,19,6,50,1.0,0,0,Mu1-const,1RAI,0.6
10115,50,3,2,14,104,5000,1.0,24,6,Mu1-const,1RAI,0.6
18537,25,5,2,27,63,1250,1.0,1,0,Mu1-const,1RAI,0.6
3745,10,3,2,19,8,200,1.0,0,0,Mu1-const,1RAI,0.6
1839,10,1,10,9,1000,1000,0.953151,2,0,Mu1-const,1RAI,0.6
2114,5,3,2,20,2,50,1.0,0,0,Mu1-const,1RAI,0.6
11569,50,3,2,15,111,5000,1.0,25,4,Mu1-const,1RAI,0.6
4139,10,3,2,20,23,200,1.0,3,0,Mu1-const,1RAI,0.6
19918,25,5,2,28,196,1250,1.0,5,0,Mu1-const,1RAI,0.6
2323,5,3,2,21,3,50,1.0,0,0,Mu1-const,1RAI,0.6
4553,10,3,2,21,15,200,1.0,2,0,Mu1-const,1RAI,0.6
13123,50,3,2,16,99,5000,1.0,26,7,Mu1-const,1RAI,0.6
21349,25,5,2,29,41,1250,1.0,3,0,Mu1-const,1RAI,0.6
2542,5,3,2,22,4,50,1.0,0,0,Mu1-const,1RAI,0.6
4987,10,3,2,22,17,200,1.0,1,0,Mu1-const,1RAI,0.6
14777,50,3,2,17,90,5000,1.0,21,7,Mu1-const,1RAI,0.6
225,25,10,2,0,106,1250,1.0,1,0,Mu1-const,1RAI,0.6
2771,5,3,2,23,7,50,1.0,1,0,Mu1-const,1RAI,0.6
5441,10,3,2,23,6,200,1.0,1,0,Mu1-const,1RAI,0.6
16531,50,3,2,18,93,5000,1.0,24,10,Mu1-const,1RAI,0.6
261,25,10,2,1,41,1250,1.0,0,0,Mu1-const,1RAI,0.6
3010,5,3,2,24,5,50,1.0,0,0,Mu1-const,1RAI,0.6
5915,10,3,2,24,10,200,1.0,0,0,Mu1-const,1RAI,0.6
347,25,10,2,2,40,1250,1.0,1,0,Mu1-const,1RAI,0.6
3259,5,3,2,25,5,50,1.0,0,0,Mu1-const,1RAI,0.6
18385,50,3,2,19,169,5000,1.0,31,8,Mu1-const,1RAI,0.6
6409,10,3,2,25,40,200,1.0,1,0,Mu1-const,1RAI,0.6
3518,5,3,2,26,4,50,1.0,0,0,Mu1-const,1RAI,0.6
483,25,10,2,3,89,1250,1.0,1,0,Mu1-const,1RAI,0.6
6923,10,3,2,26,22,200,1.0,0,0,Mu1-const,1RAI,0.6
20339,50,3,2,20,108,5000,1.0,28,4,Mu1-const,1RAI,0.6
3787,5,3,2,27,3,50,1.0,0,0,Mu1-const,1RAI,0.6
2031,10,1,10,10,1000,1000,0.953151,2,1,Mu1-const,1RAI,0.6
669,25,10,2,4,54,1250,1.0,3,0,Mu1-const,1RAI,0.6
7457,10,3,2,27,19,200,1.0,0,0,Mu1-const,1RAI,0.6
4066,5,3,2,28,2,50,1.0,0,0,Mu1-const,1RAI,0.6
22393,50,3,2,21,101,5000,1.0,30,8,Mu1-const,1RAI,0.6
8011,10,3,2,28,19,200,1.0,1,0,Mu1-const,1RAI,0.6
905,25,10,2,5,87,1250,1.0,2,0,Mu1-const,1RAI,0.6
4355,5,3,2,29,6,50,1.0,0,0,Mu1-const,1RAI,0.6
24547,50,3,2,22,118,5000,1.0,27,7,Mu1-const,1RAI,0.6
8585,10,3,2,29,14,200,1.0,2,0,Mu1-const,1RAI,0.6
1191,25,10,2,6,45,1250,1.0,2,0,Mu1-const,1RAI,0.6
75,10,5,2,0,27,200,1.0,0,0,Mu1-const,1RAI,0.6
26801,50,3,2,23,134,5000,1.0,26,8,Mu1-const,1RAI,0.6
91,10,5,2,1,8,200,1.0,0,0,Mu1-const,1RAI,0.6
1527,25,10,2,7,70,1250,1.0,5,0,Mu1-const,1RAI,0.6
127,10,5,2,2,8,200,1.0,0,0,Mu1-const,1RAI,0.6
29155,50,3,2,24,87,5000,1.0,25,9,Mu1-const,1RAI,0.6
183,10,5,2,3,26,200,1.0,0,0,Mu1-const,1RAI,0.6
1913,25,10,2,8,98,1250,1.0,4,0,Mu1-const,1RAI,0.6
514,5,3,10,0,250,250,0.947295,0,0,Mu1-const,1RAI,0.6
259,10,5,2,4,14,200,1.0,0,0,Mu1-const,1RAI,0.6
31609,50,3,2,25,132,5000,1.0,25,6,Mu1-const,1RAI,0.6
2349,25,10,2,9,112,1250,1.0,3,0,Mu1-const,1RAI,0.6
355,10,5,2,5,14,200,1.0,0,0,Mu1-const,1RAI,0.6
34163,50,3,2,26,82,5000,1.0,28,8,Mu1-const,1RAI,0.6
471,10,5,2,6,17,200,1.0,0,0,Mu1-const,1RAI,0.6
2835,25,10,2,10,108,1250,1.0,2,0,Mu1-const,1RAI,0.6
607,10,5,2,7,14,200,1.0,0,0,Mu1-const,1RAI,0.6
36817,50,3,2,27,63,5000,1.0,28,9,Mu1-const,1RAI,0.6
3371,25,10,2,11,53,1250,1.0,2,0,Mu1-const,1RAI,0.6
763,10,5,2,8,20,200,1.0,0,0,Mu1-const,1RAI,0.6
523,5,3,10,1,250,250,0.962732,0,0,Mu1-const,1RAI,0.6
2243,10,1,10,11,1000,1000,0.953151,2,1,Mu1-const,1RAI,0.6
39571,50,3,2,28,75,5000,1.0,31,8,Mu1-const,1RAI,0.6
3957,25,10,2,12,87,1250,1.0,3,0,Mu1-const,1RAI,0.6
939,10,5,2,9,24,200,1.0,0,0,Mu1-const,1RAI,0.6
1135,10,5,2,10,23,200,1.0,0,0,Mu1-const,1RAI,0.6
4593,25,10,2,13,111,1250,1.0,2,0,Mu1-const,1RAI,0.6
1351,10,5,2,11,10,200,1.0,0,0,Mu1-const,1RAI,0.6
42425,50,3,2,29,207,5000,1.0,31,8,Mu1-const,1RAI,0.6
5279,25,10,2,14,119,1250,1.0,9,0,Mu1-const,1RAI,0.6
1587,10,5,2,12,24,200,1.0,0,0,Mu1-const,1RAI,0.6
542,5,3,10,2,250,250,0.947295,0,0,Mu1-const,1RAI,0.6
1843,10,5,2,13,28,200,1.0,0,0,Mu1-const,1RAI,0.6
6015,25,10,2,15,118,1250,1.0,3,0,Mu1-const,1RAI,0.6
275,50,5,2,0,140,5000,1.0,20,0,Mu1-const,1RAI,0.6
2119,10,5,2,14,8,200,1.0,0,0,Mu1-const,1RAI,0.6
6801,25,10,2,16,72,1250,1.0,1,0,Mu1-const,1RAI,0.6
2415,10,5,2,15,34,200,1.0,1,0,Mu1-const,1RAI,0.6
331,50,5,2,1,113,5000,1.0,20,0,Mu1-const,1RAI,0.6
2731,10,5,2,16,12,200,1.0,1,0,Mu1-const,1RAI,0.6
7637,25,10,2,17,125,1250,1.0,2,0,Mu1-const,1RAI,0.6
3067,10,5,2,17,11,200,1.0,0,0,Mu1-const,1RAI,0.6
571,5,3,10,3,250,250,0.947295,0,0,Mu1-const,1RAI,0.6
3423,10,5,2,18,12,200,1.0,0,0,Mu1-const,1RAI,0.6
8523,25,10,2,18,135,1250,1.0,4,0,Mu1-const,1RAI,0.6
487,50,5,2,2,233,5000,1.0,22,0,Mu1-const,1RAI,0.6
3799,10,5,2,19,21,200,1.0,0,0,Mu1-const,1RAI,0.6
9459,25,10,2,19,74,1250,1.0,0,0,Mu1-const,1RAI,0.6
4195,10,5,2,20,13,200,1.0,0,0,Mu1-const,1RAI,0.6
743,50,5,2,3,104,5000,1.0,29,0,Mu1-const,1RAI,0.6
4611,10,5,2,21,12,200,1.0,2,0,Mu1-const,1RAI,0.6
10445,25,10,2,20,157,1250,1.0,0,0,Mu1-const,1RAI,0.6
2475,10,1,10,12,1000,1000,0.956177,3,0,Mu1-const,1RAI,0.6
5047,10,5,2,22,46,200,1.0,0,0,Mu1-const,1RAI,0.6
610,5,3,10,4,250,250,0.947295,0,0,Mu1-const,1RAI,0.6
5503,10,5,2,23,12,200,1.0,0,0,Mu1-const,1RAI,0.6
1099,50,5,2,4,236,5000,1.0,29,2,Mu1-const,1RAI,0.6
11481,25,10,2,21,208,1250,1.0,5,0,Mu1-const,1RAI,0.6
5979,10,5,2,24,19,200,1.0,0,0,Mu1-const,1RAI,0.6
6475,10,5,2,25,13,200,1.0,0,0,Mu1-const,1RAI,0.6
12567,25,10,2,22,114,1250,1.0,4,0,Mu1-const,1RAI,0.6
1555,50,5,2,5,145,5000,1.0,26,1,Mu1-const,1RAI,0.6
6991,10,5,2,26,7,200,1.0,0,0,Mu1-const,1RAI,0.6
13703,25,10,2,23,136,1250,1.0,3,0,Mu1-const,1RAI,0.6
659,5,3,10,5,250,250,0.962732,0,0,Mu1-const,1RAI,0.6
7527,10,5,2,27,27,200,1.0,0,0,Mu1-const,1RAI,0.6
2111,50,5,2,6,148,5000,1.0,20,0,Mu1-const,1RAI,0.6
14889,25,10,2,24,90,1250,1.0,4,0,Mu1-const,1RAI,0.6
8083,10,5,2,28,10,200,1.0,2,0,Mu1-const,1RAI,0.6
16125,25,10,2,25,70,1250,1.0,1,0,Mu1-const,1RAI,0.6
8659,10,5,2,29,56,200,1.0,1,0,Mu1-const,1RAI,0.6
2767,50,5,2,7,136,5000,1.0,25,1,Mu1-const,1RAI,0.6
17411,25,10,2,26,184,1250,1.0,4,0,Mu1-const,1RAI,0.6
