seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha,g,r,c
2767,50,5,2,7,120,5000,1,-15,-1,NOAH,XRAI_0.000000,1,2,1,1
3523,50,5,2,8,0,5000,1,-22,-1,NOAH,XRAI_0.000000,1,2,1,1
4379,50,5,2,9,80,5000,1,-15,0,NOAH,XRAI_0.000000,1,2,1,1
5335,50,5,2,10,0,5000,1,-20,0,NOAH,XRAI_0.000000,1,2,1,1
6391,50,5,2,11,79,5000,1,-19,0,NOAH,XRAI_0.000000,1,2,1,1
7547,50,5,2,12,0,5000,1,-19,0,NOAH,XRAI_0.000000,1,2,1,1
8803,50,5,2,13,82,5000,1,-15,0,NOAH,XRAI_0.000000,1,2,1,1
10159,50,5,2,14,0,5000,1,-20,0,NOAH,XRAI_0.000000,1,2,1,1
11615,50,5,2,15,0,5000,1,-23,0,NOAH,XRAI_0.000000,1,2,1,1
13171,50,5,2,16,92,5000,1,-16,0,NOAH,XRAI_0.000000,1,2,1,1
14827,50,5,2,17,0,5000,1,-19,0,NOAH,XRAI_0.000000,1,2,1,1
16583,50,5,2,18,0,5000,1,-20,0,NOAH,XRAI_0.000000,1,2,1,1
18439,50,5,2,19,0,5000,1,-21,0,NOAH,XRAI_0.000000,1,2,1,1
20395,50,5,2,20,182,5000,1,-23,-2,NOAH,XRAI_0.000000,1,2,1,1
22451,50,5,2,21,71,5000,1,-19,0,NOAH,XRAI_0.000000,1,2,1,1
24607,50,5,2,22,76,5000,1,-23,0,NOAH,XRAI_0.000000,1,2,1,1
26863,50,5,2,23,0,5000,1,-22,0,NOAH,XRAI_0.000000,1,2,1,1
29219,50,5,2,24,0,5000,1,-22,0,NOAH,XRAI_0.000000,1,2,1,1
31675,50,5,2,25,0,5000,1,-21,0,NOAH,XRAI_0.000000,1,2,1,1
34231,50,5,2,26,54,5000,1,-25,-2,NOAH,XRAI_0.000000,1,2,1,1
36887,50,5,2,27,99,5000,1,-17,0,NOAH,XRAI_0.000000,1,2,1,1
39643,50,5,2,28,134,5000,1,-16,-3,NOAH,XRAI_0.000000,1,2,1,1
42499,50,5,2,29,118,5000,1,-18,-1,NOAH,XRAI_0.000000,1,2,1,1
350,50,10,2,0,101,5000,1,-2,0,NOAH,XRAI_0.000000,1,2,1,1
411,50,10,2,1,94,5000,1,-13,0,NOAH,XRAI_0.000000,1,2,1,1
572,50,10,2,2,93,5000,1,-11,0,NOAH,XRAI_0.000000,1,2,1,1
833,50,10,2,3,108,5000,1,-16,0,NOAH,XRAI_0.000000,1,2,1,1
1194,50,10,2,4,144,5000,1,-11,0,NOAH,XRAI_0.000000,1,2,1,1
1655,50,10,2,5,55,5000,1,-13,0,NOAH,XRAI_0.000000,1,2,1,1
2216,50,10,2,6,0,5000,1,-10,0,NOAH,XRAI_0.000000,1,2,1,1
2877,50,10,2,7,0,5000,1,-13,0,NOAH,XRAI_0.000000,1,2,1,1
3638,50,10,2,8,85,5000,1,-7,0,NOAH,XRAI_0.000000,1,2,1,1
4499,50,10,2,9,0,5000,1,-9,0,NOAH,XRAI_0.000000,1,2,1,1
5460,50,10,2,10,0,5000,1,-7,0,NOAH,XRAI_0.000000,1,2,1,1
6521,50,10,2,11,0,5000,1,-13,0,NOAH,XRAI_0.000000,1,2,1,1
7682,50,10,2,12,0,5000,1,-15,0,NOAH,XRAI_0.000000,1,2,1,1
8943,50,10,2,13,0,5000,1,-9,0,NOAH,XRAI_0.000000,1,2,1,1
10304,50,10,2,14,0,5000,1,-7,0,NOAH,XRAI_0.000000,1,2,1,1
11765,50,10,2,15,119,5000,1,-10,0,NOAH,XRAI_0.000000,1,2,1,1
13326,50,10,2,16,0,5000,1,-10,0,NOAH,XRAI_0.000000,1,2,1,1
14987,50,10,2,17,0,5000,1,-9,0,NOAH,XRAI_0.000000,1,2,1,1
16748,50,10,2,18,56,5000,1,-8,0,NOAH,XRAI_0.000000,1,2,1,1
18609,50,10,2,19,0,5000,1,-6,0,NOAH,XRAI_0.000000,1,2,1,1
20570,50,10,2,20,0,5000,1,-8,0,NOAH,XRAI_0.000000,1,2,1,1
22631,50,10,2,21,0,5000,1,-6,0,NOAH,XRAI_0.000000,1,2,1,1
