seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha,g,r,c
88908,100,10,10,28,2899,100000,1,-32,0,NOAH,XRAI_0.000000,0.5,10,5,5
94619,100,10,10,29,2135,100000,1,-32,0,NOAH,XRAI_0.000000,0.5,10,5,5
62601,100,1,25,0,18635,250000,1,-86,-71,NOAH,XRAI_0.000000,0.5,25,12,12
62703,100,1,25,1,36585,250000,1,-87,-69,NOAH,XRAI_0.000000,0.5,25,12,12
63005,100,1,25,2,11523,250000,1,-89,-70,NOAH,XRAI_0.000000,0.5,25,12,12
63507,100,1,25,3,10513,250000,1,-89,-69,NOAH,XRAI_0.000000,0.5,25,12,12
64209,100,1,25,4,12671,250000,1,-88,-68,NOAH,XRAI_0.000000,0.5,25,12,12
65111,100,1,25,5,19315,250000,1,-86,-68,NOAH,XRAI_0.000000,0.5,25,12,12
66213,100,1,25,6,8820,250000,1,-90,-71,NOAH,XRAI_0.000000,0.5,25,12,12
67515,100,1,25,7,19999,250000,1,-86,-67,NOAH,XRAI_0.000000,0.5,25,12,12
69017,100,1,25,8,19526,250000,1,-85,-67,NOAH,XRAI_0.000000,0.5,25,12,12
70719,100,1,25,9,13382,250000,1,-87,-66,NOAH,XRAI_0.000000,0.5,25,12,12
72621,100,1,25,10,23679,250000,1,-86,-69,NOAH,XRAI_0.000000,0.5,25,12,12
74723,100,1,25,11,17807,250000,1,-88,-69,NOAH,XRAI_0.000000,0.5,25,12,12
77025,100,1,25,12,8256,250000,1,-88,-67,NOAH,XRAI_0.000000,0.5,25,12,12
79527,100,1,25,13,13561,250000,1,-88,-66,NOAH,XRAI_0.000000,0.5,25,12,12
82229,100,1,25,14,14338,250000,1,-85,-67,NOAH,XRAI_0.000000,0.5,25,12,12
85131,100,1,25,15,11107,250000,1,-88,-70,NOAH,XRAI_0.000000,0.5,25,12,12
88233,100,1,25,16,26572,250000,1,-87,-68,NOAH,XRAI_0.000000,0.5,25,12,12
91535,100,1,25,17,11202,250000,1,-87,-66,NOAH,XRAI_0.000000,0.5,25,12,12
95037,100,1,25,18,15433,250000,1,-88,-65,NOAH,XRAI_0.000000,0.5,25,12,12
98739,100,1,25,19,12831,250000,1,-89,-71,NOAH,XRAI_0.000000,0.5,25,12,12
102641,100,1,25,20,17568,250000,1,-85,-70,NOAH,XRAI_0.000000,0.5,25,12,12
106743,100,1,25,21,14062,250000,1,-90,-72,NOAH,XRAI_0.000000,0.5,25,12,12
111045,100,1,25,22,19377,250000,1,-86,-69,NOAH,XRAI_0.000000,0.5,25,12,12
115547,100,1,25,23,15130,250000,1,-87,-66,NOAH,XRAI_0.000000,0.5,25,12,12
120249,100,1,25,24,9081,250000,1,-88,-66,NOAH,XRAI_0.000000,0.5,25,12,12
125151,100,1,25,25,22163,250000,1,-86,-67,NOAH,XRAI_0.000000,0.5,25,12,12
130253,100,1,25,26,48941,250000,1,-85,-66,NOAH,XRAI_0.000000,0.5,25,12,12
135555,100,1,25,27,35875,250000,1,-88,-73,NOAH,XRAI_0.000000,0.5,25,12,12
141057,100,1,25,28,14237,250000,1,-87,-65,NOAH,XRAI_0.000000,0.5,25,12,12
146759,100,1,25,29,20264,250000,1,-84,-67,NOAH,XRAI_0.000000,0.5,25,12,12
62609,100,3,25,0,10405,250000,1,-66,-38,NOAH,XRAI_0.000000,0.5,25,12,12
62713,100,3,25,1,11519,250000,1,-67,-38,NOAH,XRAI_0.000000,0.5,25,12,12
63017,100,3,25,2,9550,250000,1,-69,-36,NOAH,XRAI_0.000000,0.5,25,12,12
63521,100,3,25,3,9304,250000,1,-69,-31,NOAH,XRAI_0.000000,0.5,25,12,12
64225,100,3,25,4,10032,250000,1,-64,-32,NOAH,XRAI_0.000000,0.5,25,12,12
65129,100,3,25,5,11612,250000,1,-66,-35,NOAH,XRAI_0.000000,0.5,25,12,12
66233,100,3,25,6,10382,250000,1,-70,-35,NOAH,XRAI_0.000000,0.5,25,12,12
67537,100,3,25,7,11260,250000,1,-68,-36,NOAH,XRAI_0.000000,0.5,25,12,12
69041,100,3,25,8,10929,250000,1,-68,-35,NOAH,XRAI_0.000000,0.5,25,12,12
70745,100,3,25,9,10299,250000,1,-70,-36,NOAH,XRAI_0.000000,0.5,25,12,12
72649,100,3,25,10,10881,250000,1,-68,-38,NOAH,XRAI_0.000000,0.5,25,12,12
74753,100,3,25,11,10070,250000,1,-68,-33,NOAH,XRAI_0.000000,0.5,25,12,12
77057,100,3,25,12,9862,250000,1,-70,-37,NOAH,XRAI_0.000000,0.5,25,12,12
79561,100,3,25,13,9265,250000,1,-68,-35,NOAH,XRAI_0.000000,0.5,25,12,12
82265,100,3,25,14,8944,250000,1,-71,-36,NOAH,XRAI_0.000000,0.5,25,12,12
85169,100,3,25,15,15164,250000,1,-68,-34,NOAH,XRAI_0.000000,0.5,25,12,12
88273,100,3,25,16,12088,250000,1,-66,-38,NOAH,XRAI_0.000000,0.5,25,12,12
91577,100,3,25,17,13226,250000,1,-71,-38,NOAH,XRAI_0.000000,0.5,25,12,12
95081,100,3,25,18,12311,250000,1,-69,-40,NOAH,XRAI_0.000000,0.5,25,12,12
98785,100,3,25,19,9706,250000,1,-67,-35,NOAH,XRAI_0.000000,0.5,25,12,12
102689,100,3,25,20,10598,250000,1,-70,-30,NOAH,XRAI_0.000000,0.5,25,12,12
106793,100,3,25,21,10747,250000,1,-69,-37,NOAH,XRAI_0.000000,0.5,25,12,12
111097,100,3,25,22,14287,250000,1,-76,-43,NOAH,XRAI_0.000000,0.5,25,12,12
115601,100,3,25,23,11337,250000,1,-70,-40,NOAH,XRAI_0.000000,0.5,25,12,12
120305,100,3,25,24,9509,250000,1,-71,-34,NOAH,XRAI_0.000000,0.5,25,12,12
125209,100,3,25,25,11029,250000,1,-69,-35,NOAH,XRAI_0.000000,0.5,25,12,12
130313,100,3,25,26,9224,250000,1,-71,-39,NOAH,XRAI_0.000000,0.5,25,12,12
135617,100,3,25,27,9789,250000,1,-66,-35,NOAH,XRAI_0.000000,0.5,25,12,12
141121,100,3,25,28,19010,250000,1,-70,-41,NOAH,XRAI_0.000000,0.5,25,12,12
146825,100,3,25,29,10240,250000,1,-65,-31,NOAH,XRAI_0.000000,0.5,25,12,12
62625,100,5,25,0,10274,250000,1,-56,-15,NOAH,XRAI_0.000000,0.5,25,12,12
62731,100,5,25,1,10272,250000,1,-53,-19,NOAH,XRAI_0.000000,0.5,25,12,12
63037,100,5,25,2,10919,250000,1,-57,-18,NOAH,XRAI_0.000000,0.5,25,12,12
63543,100,5,25,3,8938,250000,1,-56,-17,NOAH,XRAI_0.000000,0.5,25,12,12
64249,100,5,25,4,7827,250000,1,-54,-21,NOAH,XRAI_0.000000,0.5,25,12,12
65155,100,5,25,5,10312,250000,1,-46,-13,NOAH,XRAI_0.000000,0.5,25,12,12
66261,100,5,25,6,8415,250000,1,-56,-21,NOAH,XRAI_0.000000,0.5,25,12,12
67567,100,5,25,7,14035,250000,1,-49,-12,NOAH,XRAI_0.000000,0.5,25,12,12
69073,100,5,25,8,10214,250000,1,-53,-18,NOAH,XRAI_0.000000,0.5,25,12,12
70779,100,5,25,9,11603,250000,1,-55,-13,NOAH,XRAI_0.000000,0.5,25,12,12
72685,100,5,25,10,8533,250000,1,-55,-21,NOAH,XRAI_0.000000,0.5,25,12,12
74791,100,5,25,11,7275,250000,1,-50,-17,NOAH,XRAI_0.000000,0.5,25,12,12
77097,100,5,25,12,10540,250000,1,-52,-14,NOAH,XRAI_0.000000,0.5,25,12,12
79603,100,5,25,13,10068,250000,1,-55,-19,NOAH,XRAI_0.000000,0.5,25,12,12
82309,100,5,25,14,9680,250000,1,-54,-21,NOAH,XRAI_0.000000,0.5,25,12,12
85215,100,5,25,15,9064,250000,1,-52,-14,NOAH,XRAI_0.000000,0.5,25,12,12
88321,100,5,25,16,8614,250000,1,-52,-15,NOAH,XRAI_0.000000,0.5,25,12,12
91627,100,5,25,17,8617,250000,1,-56,-20,NOAH,XRAI_0.000000,0.5,25,12,12
95133,100,5,25,18,10222,250000,1,-56,-20,NOAH,XRAI_0.000000,0.5,25,12,12
98839,100,5,25,19,11989,250000,1,-53,-15,NOAH,XRAI_0.000000,0.5,25,12,12
102745,100,5,25,20,12435,250000,1,-50,-15,NOAH,XRAI_0.000000,0.5,25,12,12
106851,100,5,25,21,13169,250000,1,-57,-18,NOAH,XRAI_0.000000,0.5,25,12,12
111157,100,5,25,22,9137,250000,1,-48,-14,NOAH,XRAI_0.000000,0.5,25,12,12
115663,100,5,25,23,8608,250000,1,-52,-15,NOAH,XRAI_0.000000,0.5,25,12,12
120369,100,5,25,24,9433,250000,1,-57,-20,NOAH,XRAI_0.000000,0.5,25,12,12
125275,100,5,25,25,8893,250000,1,-52,-16,NOAH,XRAI_0.000000,0.5,25,12,12
130381,100,5,25,26,9396,250000,1,-56,-18,NOAH,XRAI_0.000000,0.5,25,12,12
135687,100,5,25,27,10282,250000,1,-53,-21,NOAH,XRAI_0.000000,0.5,25,12,12
141193,100,5,25,28,8392,250000,1,-53,-21,NOAH,XRAI_0.000000,0.5,25,12,12
146899,100,5,25,29,10344,250000,1,-56,-21,NOAH,XRAI_0.000000,0.5,25,12,12
62700,100,10,25,0,7725,250000,1,-25,0,NOAH,XRAI_0.000000,0.5,25,12,12
62811,100,10,25,1,7737,250000,1,-25,0,NOAH,XRAI_0.000000,0.5,25,12,12
63122,100,10,25,2,9667,250000,1,-30,0,NOAH,XRAI_0.000000,0.5,25,12,12
63633,100,10,25,3,7493,250000,1,-27,0,NOAH,XRAI_0.000000,0.5,25,12,12
64344,100,10,25,4,8507,250000,1,-32,0,NOAH,XRAI_0.000000,0.5,25,12,12
65255,100,10,25,5,10725,250000,1,-29,0,NOAH,XRAI_0.000000,0.5,25,12,12
66366,100,10,25,6,9004,250000,1,-32,0,NOAH,XRAI_0.000000,0.5,25,12,12
67677,100,10,25,7,10825,250000,1,-25,0,NOAH,XRAI_0.000000,0.5,25,12,12
69188,100,10,25,8,7872,250000,1,-29,0,NOAH,XRAI_0.000000,0.5,25,12,12
70899,100,10,25,9,9100,250000,1,-25,0,NOAH,XRAI_0.000000,0.5,25,12,12
72810,100,10,25,10,9940,250000,1,-30,0,NOAH,XRAI_0.000000,0.5,25,12,12
74921,100,10,25,11,9402,250000,1,-31,0,NOAH,XRAI_0.000000,0.5,25,12,12
77232,100,10,25,12,10362,250000,1,-35,0,NOAH,XRAI_0.000000,0.5,25,12,12
79743,100,10,25,13,9816,250000,1,-29,-3,NOAH,XRAI_0.000000,0.5,25,12,12
82454,100,10,25,14,8949,250000,1,-27,0,NOAH,XRAI_0.000000,0.5,25,12,12
85365,100,10,25,15,8049,250000,1,-24,0,NOAH,XRAI_0.000000,0.5,25,12,12
88476,100,10,25,16,9526,250000,1,-34,0,NOAH,XRAI_0.000000,0.5,25,12,12
91787,100,10,25,17,9088,250000,1,-28,-8,NOAH,XRAI_0.000000,0.5,25,12,12
95298,100,10,25,18,11056,250000,1,-29,0,NOAH,XRAI_0.000000,0.5,25,12,12
99009,100,10,25,19,7433,250000,1,-33,0,NOAH,XRAI_0.000000,0.5,25,12,12
102920,100,10,25,20,9956,250000,1,-25,0,NOAH,XRAI_0.000000,0.5,25,12,12
107031,100,10,25,21,9861,250000,1,-34,0,NOAH,XRAI_0.000000,0.5,25,12,12
111342,100,10,25,22,11045,250000,1,-27,0,NOAH,XRAI_0.000000,0.5,25,12,12
115853,100,10,25,23,9435,250000,1,-26,0,NOAH,XRAI_0.000000,0.5,25,12,12
120564,100,10,25,24,8788,250000,1,-25,0,NOAH,XRAI_0.000000,0.5,25,12,12
125475,100,10,25,25,9035,250000,1,-31,-1,NOAH,XRAI_0.000000,0.5,25,12,12
130586,100,10,25,26,8662,250000,1,-31,0,NOAH,XRAI_0.000000,0.5,25,12,12
135897,100,10,25,27,9418,250000,1,-29,0,NOAH,XRAI_0.000000,0.5,25,12,12
141408,100,10,25,28,7857,250000,1,-29,0,NOAH,XRAI_0.000000,0.5,25,12,12
147119,100,10,25,29,9444,250000,1,-30,0,NOAH,XRAI_0.000000,0.5,25,12,12
250101,100,1,50,0,238303,500000,1,-84,-71,NOAH,XRAI_0.000000,0.5,50,25,25
250203,100,1,50,1,252792,500000,1,-85,-69,NOAH,XRAI_0.000000,0.5,50,25,25
250505,100,1,50,2,91008,500000,1,-87,-68,NOAH,XRAI_0.000000,0.5,50,25,25
251007,100,1,50,3,224162,500000,1,-84,-67,NOAH,XRAI_0.000000,0.5,50,25,25
251709,100,1,50,4,122192,500000,1,-85,-71,NOAH,XRAI_0.000000,0.5,50,25,25
252611,100,1,50,5,500000,500000,0.999711,-82,-65,NOAH,XRAI_0.000000,0.5,50,25,25
253713,100,1,50,6,177245,500000,1,-82,-67,NOAH,XRAI_0.000000,0.5,50,25,25
255015,100,1,50,7,158455,500000,1,-84,-65,NOAH,XRAI_0.000000,0.5,50,25,25
256517,100,1,50,8,144771,500000,1,-88,-71,NOAH,XRAI_0.000000,0.5,50,25,25
258219,100,1,50,9,110807,500000,1,-85,-67,NOAH,XRAI_0.000000,0.5,50,25,25
260121,100,1,50,10,500000,500000,0.999711,-82,-68,NOAH,XRAI_0.000000,0.5,50,25,25
251,50,1,2,0,73,5000,1,-39,-24,NOAH,XRAI_0.000000,0.2,2,1,1
303,50,1,2,1,63,5000,1,-43,-29,NOAH,XRAI_0.000000,0.2,2,1,1
455,50,1,2,2,0,5000,1,-44,-26,NOAH,XRAI_0.000000,0.2,2,1,1
707,50,1,2,3,60,5000,1,-41,-30,NOAH,XRAI_0.000000,0.2,2,1,1
1059,50,1,2,4,0,5000,1,-43,-28,NOAH,XRAI_0.000000,0.2,2,1,1
1511,50,1,2,5,0,5000,1,-42,-27,NOAH,XRAI_0.000000,0.2,2,1,1
2063,50,1,2,6,63,5000,1,-41,-23,NOAH,XRAI_0.000000,0.2,2,1,1
2715,50,1,2,7,0,5000,1,-42,-26,NOAH,XRAI_0.000000,0.2,2,1,1
3467,50,1,2,8,0,5000,1,-44,-27,NOAH,XRAI_0.000000,0.2,2,1,1
4319,50,1,2,9,0,5000,1,-43,-23,NOAH,XRAI_0.000000,0.2,2,1,1
5271,50,1,2,10,89,5000,1,-42,-24,NOAH,XRAI_0.000000,0.2,2,1,1
6323,50,1,2,11,80,5000,1,-43,-27,NOAH,XRAI_0.000000,0.2,2,1,1
7475,50,1,2,12,0,5000,1,-46,-24,NOAH,XRAI_0.000000,0.2,2,1,1
8727,50,1,2,13,0,5000,1,-42,-24,NOAH,XRAI_0.000000,0.2,2,1,1
10079,50,1,2,14,74,5000,1,-42,-27,NOAH,XRAI_0.000000,0.2,2,1,1
11531,50,1,2,15,64,5000,1,-44,-26,NOAH,XRAI_0.000000,0.2,2,1,1
13083,50,1,2,16,109,5000,1,-43,-25,NOAH,XRAI_0.000000,0.2,2,1,1
14735,50,1,2,17,0,5000,1,-44,-27,NOAH,XRAI_0.000000,0.2,2,1,1
16487,50,1,2,18,0,5000,1,-43,-26,NOAH,XRAI_0.000000,0.2,2,1,1
18339,50,1,2,19,0,5000,1,-43,-25,NOAH,XRAI_0.000000,0.2,2,1,1
20291,50,1,2,20,103,5000,1,-39,-26,NOAH,XRAI_0.000000,0.2,2,1,1
22343,50,1,2,21,98,5000,1,-43,-29,NOAH,XRAI_0.000000,0.2,2,1,1
24495,50,1,2,22,78,5000,1,-41,-25,NOAH,XRAI_0.000000,0.2,2,1,1
26747,50,1,2,23,0,5000,1,-43,-26,NOAH,XRAI_0.000000,0.2,2,1,1
29099,50,1,2,24,115,5000,1,-42,-27,NOAH,XRAI_0.000000,0.2,2,1,1
31551,50,1,2,25,111,5000,1,-41,-25,NOAH,XRAI_0.000000,0.2,2,1,1
34103,50,1,2,26,79,5000,1,-43,-25,NOAH,XRAI_0.000000,0.2,2,1,1
36755,50,1,2,27,62,5000,1,-45,-27,NOAH,XRAI_0.000000,0.2,2,1,1
39507,50,1,2,28,0,5000,1,-43,-28,NOAH,XRAI_0.000000,0.2,2,1,1
42359,50,1,2,29,69,5000,1,-40,-23,NOAH,XRAI_0.000000,0.2,2,1,1
259,50,3,2,0,80,5000,1,-29,-7,NOAH,XRAI_0.000000,0.2,2,1,1
313,50,3,2,1,74,5000,1,-29,-5,NOAH,XRAI_0.000000,0.2,2,1,1
467,50,3,2,2,0,5000,1,-27,-2,NOAH,XRAI_0.000000,0.2,2,1,1
721,50,3,2,3,78,5000,1,-30,-7,NOAH,XRAI_0.000000,0.2,2,1,1
1075,50,3,2,4,81,5000,1,-28,-5,NOAH,XRAI_0.000000,0.2,2,1,1
1529,50,3,2,5,81,5000,1,-26,-4,NOAH,XRAI_0.000000,0.2,2,1,1
2083,50,3,2,6,84,5000,1,-33,-10,NOAH,XRAI_0.000000,0.2,2,1,1
2737,50,3,2,7,0,5000,1,-28,-7,NOAH,XRAI_0.000000,0.2,2,1,1
3491,50,3,2,8,85,5000,1,-29,-6,NOAH,XRAI_0.000000,0.2,2,1,1
4345,50,3,2,9,0,5000,1,-34,-12,NOAH,XRAI_0.000000,0.2,2,1,1
5299,50,3,2,10,46,5000,1,-27,-4,NOAH,XRAI_0.000000,0.2,2,1,1
6353,50,3,2,11,0,5000,1,-31,-8,NOAH,XRAI_0.000000,0.2,2,1,1
7507,50,3,2,12,86,5000,1,-29,-3,NOAH,XRAI_0.000000,0.2,2,1,1
8761,50,3,2,13,104,5000,1,-28,-9,NOAH,XRAI_0.000000,0.2,2,1,1
10115,50,3,2,14,80,5000,1,-29,-6,NOAH,XRAI_0.000000,0.2,2,1,1
11569,50,3,2,15,0,5000,1,-31,-4,NOAH,XRAI_0.000000,0.2,2,1,1
13123,50,3,2,16,102,5000,1,-29,-7,NOAH,XRAI_0.000000,0.2,2,1,1
14777,50,3,2,17,0,5000,1,-32,-7,NOAH,XRAI_0.000000,0.2,2,1,1
16531,50,3,2,18,0,5000,1,-33,-10,NOAH,XRAI_0.000000,0.2,2,1,1
18385,50,3,2,19,0,5000,1,-29,-8,NOAH,XRAI_0.000000,0.2,2,1,1
20339,50,3,2,20,42,5000,1,-30,-4,NOAH,XRAI_0.000000,0.2,2,1,1
22393,50,3,2,21,44,5000,1,-30,-8,NOAH,XRAI_0.000000,0.2,2,1,1
24547,50,3,2,22,91,5000,1,-25,-7,NOAH,XRAI_0.000000,0.2,2,1,1
26801,50,3,2,23,0,5000,1,-26,-8,NOAH,XRAI_0.000000,0.2,2,1,1
29155,50,3,2,24,78,5000,1,-31,-9,NOAH,XRAI_0.000000,0.2,2,1,1
31609,50,3,2,25,80,5000,1,-25,-6,NOAH,XRAI_0.000000,0.2,2,1,1
34163,50,3,2,26,0,5000,1,-29,-8,NOAH,XRAI_0.000000,0.2,2,1,1
36817,50,3,2,27,75,5000,1,-30,-9,NOAH,XRAI_0.000000,0.2,2,1,1
39571,50,3,2,28,69,5000,1,-34,-8,NOAH,XRAI_0.000000,0.2,2,1,1
42425,50,3,2,29,0,5000,1,-28,-8,NOAH,XRAI_0.000000,0.2,2,1,1
275,50,5,2,0,154,5000,1,-18,0,NOAH,XRAI_0.000000,0.2,2,1,1
331,50,5,2,1,0,5000,1,-25,0,NOAH,XRAI_0.000000,0.2,2,1,1
487,50,5,2,2,53,5000,1,-22,0,NOAH,XRAI_0.000000,0.2,2,1,1
743,50,5,2,3,94,5000,1,-20,0,NOAH,XRAI_0.000000,0.2,2,1,1
1099,50,5,2,4,87,5000,1,-25,-2,NOAH,XRAI_0.000000,0.2,2,1,1
1555,50,5,2,5,92,5000,1,-22,-1,NOAH,XRAI_0.000000,0.2,2,1,1
2111,50,5,2,6,144,5000,1,-20,0,NOAH,XRAI_0.000000,0.2,2,1,1
2767,50,5,2,7,120,5000,1,-15,-1,NOAH,XRAI_0.000000,0.2,2,1,1
3523,50,5,2,8,0,5000,1,-22,-1,NOAH,XRAI_0.000000,0.2,2,1,1
4379,50,5,2,9,80,5000,1,-15,0,NOAH,XRAI_0.000000,0.2,2,1,1
5335,50,5,2,10,0,5000,1,-20,0,NOAH,XRAI_0.000000,0.2,2,1,1
6391,50,5,2,11,79,5000,1,-19,0,NOAH,XRAI_0.000000,0.2,2,1,1
7547,50,5,2,12,0,5000,1,-19,0,NOAH,XRAI_0.000000,0.2,2,1,1
8803,50,5,2,13,82,5000,1,-15,0,NOAH,XRAI_0.000000,0.2,2,1,1
10159,50,5,2,14,0,5000,1,-20,0,NOAH,XRAI_0.000000,0.2,2,1,1
11615,50,5,2,15,0,5000,1,-23,0,NOAH,XRAI_0.000000,0.2,2,1,1
13171,50,5,2,16,92,5000,1,-16,0,NOAH,XRAI_0.000000,0.2,2,1,1
14827,50,5,2,17,0,5000,1,-19,0,NOAH,XRAI_0.000000,0.2,2,1,1
16583,50,5,2,18,0,5000,1,-20,0,NOAH,XRAI_0.000000,0.2,2,1,1
18439,50,5,2,19,0,5000,1,-21,0,NOAH,XRAI_0.000000,0.2,2,1,1
20395,50,5,2,20,182,5000,1,-23,-2,NOAH,XRAI_0.000000,0.2,2,1,1
22451,50,5,2,21,71,5000,1,-19,0,NOAH,XRAI_0.000000,0.2,2,1,1
24607,50,5,2,22,76,5000,1,-23,0,NOAH,XRAI_0.000000,0.2,2,1,1
26863,50,5,2,23,0,5000,1,-22,0,NOAH,XRAI_0.000000,0.2,2,1,1
29219,50,5,2,24,0,5000,1,-22,0,NOAH,XRAI_0.000000,0.2,2,1,1
31675,50,5,2,25,0,5000,1,-21,0,NOAH,XRAI_0.000000,0.2,2,1,1
34231,50,5,2,26,54,5000,1,-25,-2,NOAH,XRAI_0.000000,0.2,2,1,1
36887,50,5,2,27,99,5000,1,-17,0,NOAH,XRAI_0.000000,0.2,2,1,1
39643,50,5,2,28,134,5000,1,-16,-3,NOAH,XRAI_0.000000,0.2,2,1,1
42499,50,5,2,29,118,5000,1,-18,-1,NOAH,XRAI_0.000000,0.2,2,1,1
350,50,10,2,0,101,5000,1,-2,0,NOAH,XRAI_0.000000,0.2,2,1,1
411,50,10,2,1,94,5000,1,-13,0,NOAH,XRAI_0.000000,0.2,2,1,1
572,50,10,2,2,93,5000,1,-11,0,NOAH,XRAI_0.000000,0.2,2,1,1
833,50,10,2,3,108,5000,1,-16,0,NOAH,XRAI_0.000000,0.2,2,1,1
1194,50,10,2,4,144,5000,1,-11,0,NOAH,XRAI_0.000000,0.2,2,1,1
1655,50,10,2,5,55,5000,1,-13,0,NOAH,XRAI_0.000000,0.2,2,1,1
2216,50,10,2,6,0,5000,1,-10,0,NOAH,XRAI_0.000000,0.2,2,1,1
2877,50,10,2,7,0,5000,1,-13,0,NOAH,XRAI_0.000000,0.2,2,1,1
3638,50,10,2,8,85,5000,1,-7,0,NOAH,XRAI_0.000000,0.2,2,1,1
4499,50,10,2,9,0,5000,1,-9,0,NOAH,XRAI_0.000000,0.2,2,1,1
5460,50,10,2,10,0,5000,1,-7,0,NOAH,XRAI_0.000000,0.2,2,1,1
6521,50,10,2,11,0,5000,1,-13,0,NOAH,XRAI_0.000000,0.2,2,1,1
7682,50,10,2,12,0,5000,1,-15,0,NOAH,XRAI_0.000000,0.2,2,1,1
8943,50,10,2,13,0,5000,1,-9,0,NOAH,XRAI_0.000000,0.2,2,1,1
10304,50,10,2,14,0,5000,1,-7,0,NOAH,XRAI_0.000000,0.2,2,1,1
11765,50,10,2,15,119,5000,1,-10,0,NOAH,XRAI_0.000000,0.2,2,1,1
13326,50,10,2,16,0,5000,1,-10,0,NOAH,XRAI_0.000000,0.2,2,1,1
14987,50,10,2,17,0,5000,1,-9,0,NOAH,XRAI_0.000000,0.2,2,1,1
16748,50,10,2,18,56,5000,1,-8,0,NOAH,XRAI_0.000000,0.2,2,1,1
18609,50,10,2,19,0,5000,1,-6,0,NOAH,XRAI_0.000000,0.2,2,1,1
20570,50,10,2,20,0,5000,1,-8,0,NOAH,XRAI_0.000000,0.2,2,1,1
22631,50,10,2,21,0,5000,1,-6,0,NOAH,XRAI_0.000000,0.2,2,1,1
24792,50,10,2,22,73,5000,1,-8,0,NOAH,XRAI_0.000000,0.2,2,1,1
27053,50,10,2,23,82,5000,1,-9,0,NOAH,XRAI_0.000000,0.2,2,1,1
29414,50,10,2,24,90,5000,1,-11,0,NOAH,XRAI_0.000000,0.2,2,1,1
31875,50,10,2,25,0,5000,1,-10,0,NOAH,XRAI_0.000000,0.2,2,1,1
34436,50,10,2,26,108,5000,1,-11,0,NOAH,XRAI_0.000000,0.2,2,1,1
37097,50,10,2,27,0,5000,1,-7,0,NOAH,XRAI_0.000000,0.2,2,1,1
39858,50,10,2,28,86,5000,1,-8,0,NOAH,XRAI_0.000000,0.2,2,1,1
42719,50,10,2,29,81,5000,1,-8,0,NOAH,XRAI_0.000000,0.2,2,1,1
5051,50,1,10,0,1147,25000,1,-40,-26,NOAH,XRAI_0.000000,0.2,10,5,5
5103,50,1,10,1,1085,25000,1,-40,-29,NOAH,XRAI_0.000000,0.2,10,5,5
5255,50,1,10,2,1073,25000,1,-42,-28,NOAH,XRAI_0.000000,0.2,10,5,5
5507,50,1,10,3,755,25000,1,-41,-26,NOAH,XRAI_0.000000,0.2,10,5,5
5859,50,1,10,4,1288,25000,1,-38,-22,NOAH,XRAI_0.000000,0.2,10,5,5
6311,50,1,10,5,1425,25000,1,-39,-24,NOAH,XRAI_0.000000,0.2,10,5,5
6863,50,1,10,6,1557,25000,1,-37,-22,NOAH,XRAI_0.000000,0.2,10,5,5
7515,50,1,10,7,1791,25000,1,-40,-27,NOAH,XRAI_0.000000,0.2,10,5,5
8267,50,1,10,8,781,25000,1,-41,-27,NOAH,XRAI_0.000000,0.2,10,5,5
9119,50,1,10,9,1233,25000,1,-40,-23,NOAH,XRAI_0.000000,0.2,10,5,5
10071,50,1,10,10,1030,25000,1,-40,-25,NOAH,XRAI_0.000000,0.2,10,5,5
11123,50,1,10,11,2226,25000,1,-37,-24,NOAH,XRAI_0.000000,0.2,10,5,5
12275,50,1,10,12,1587,25000,1,-39,-25,NOAH,XRAI_0.000000,0.2,10,5,5
13527,50,1,10,13,1546,25000,1,-35,-23,NOAH,XRAI_0.000000,0.2,10,5,5
14879,50,1,10,14,1756,25000,1,-40,-24,NOAH,XRAI_0.000000,0.2,10,5,5
16331,50,1,10,15,912,25000,1,-38,-25,NOAH,XRAI_0.000000,0.2,10,5,5
17883,50,1,10,16,1113,25000,1,-41,-26,NOAH,XRAI_0.000000,0.2,10,5,5
19535,50,1,10,17,1319,25000,1,-39,-26,NOAH,XRAI_0.000000,0.2,10,5,5
21287,50,1,10,18,1137,25000,1,-40,-24,NOAH,XRAI_0.000000,0.2,10,5,5
23139,50,1,10,19,1693,25000,1,-39,-24,NOAH,XRAI_0.000000,0.2,10,5,5
25091,50,1,10,20,2732,25000,1,-37,-25,NOAH,XRAI_0.000000,0.2,10,5,5
27143,50,1,10,21,1213,25000,1,-39,-27,NOAH,XRAI_0.000000,0.2,10,5,5
29295,50,1,10,22,1205,25000,1,-38,-20,NOAH,XRAI_0.000000,0.2,10,5,5
31547,50,1,10,23,1110,25000,1,-40,-25,NOAH,XRAI_0.000000,0.2,10,5,5
33899,50,1,10,24,1248,25000,1,-40,-20,NOAH,XRAI_0.000000,0.2,10,5,5
36351,50,1,10,25,1285,25000,1,-41,-28,NOAH,XRAI_0.000000,0.2,10,5,5
38903,50,1,10,26,1498,25000,1,-40,-27,NOAH,XRAI_0.000000,0.2,10,5,5
41555,50,1,10,27,1390,25000,1,-37,-22,NOAH,XRAI_0.000000,0.2,10,5,5
44307,50,1,10,28,2365,25000,1,-39,-27,NOAH,XRAI_0.000000,0.2,10,5,5
47159,50,1,10,29,1063,25000,1,-40,-25,NOAH,XRAI_0.000000,0.2,10,5,5
