seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,alpha,algorithm,mutation
2031,10,1,10,10,1000,1000,0.784039,-1,-1,0.2,Mu1-const,NSWAP
2243,10,1,10,11,1000,1000,0.837712,-1,-1,0.2,Mu1-const,NSWAP
2475,10,1,10,12,1000,1000,0.840268,0,0,0.2,Mu1-const,NSWAP
2727,10,1,10,13,1000,1000,0.843741,0,0,0.2,Mu1-const,NSWAP
2999,10,1,10,14,1000,1000,0.729858,0,0,0.2,Mu1-const,NSWAP
3291,10,1,10,15,1000,1000,0.845506,0,0,0.2,Mu1-const,NSWAP
3603,10,1,10,16,1000,1000,0.860434,0,0,0.2,Mu1-const,NSWAP
3935,10,1,10,17,1000,1000,0.832717,0,0,0.2,Mu1-const,NSWAP
4287,10,1,10,18,1000,1000,0.850011,-2,-2,0.2,Mu1-const,NSWAP
4659,10,1,10,19,1000,1000,0.842865,0,0,0.2,Mu1-const,NSWAP
5051,10,1,10,20,1000,1000,0.587906,0,0,0.2,Mu1-const,NSWAP
5463,10,1,10,21,1000,1000,0.831899,-1,-1,0.2,Mu1-const,NSWAP
5895,10,1,10,22,1000,1000,0.631486,0,0,0.2,Mu1-const,NSWAP
6347,10,1,10,23,1000,1000,0.860434,0,0,0.2,Mu1-const,NSWAP
6819,10,1,10,24,1000,1000,0.787238,0,0,0.2,Mu1-const,NSWAP
7311,10,1,10,25,1000,1000,0.585913,0,0,0.2,Mu1-const,NSWAP
7823,10,1,10,26,1000,1000,0.238801,0,0,0.2,Mu1-const,NSWAP
8355,10,1,10,27,1000,1000,0.654542,0,0,0.2,Mu1-const,NSWAP
8907,10,1,10,28,1000,1000,0.820075,0,0,0.2,Mu1-const,NSWAP
9479,10,1,10,29,1000,1000,0.870635,-1,-1,0.2,Mu1-const,NSWAP
126,25,1,2,0,50,1250,1,-10,-9,0.2,Mu1-const,NSWAP
153,25,1,2,1,27,1250,1,-10,-9,0.2,Mu1-const,NSWAP
230,25,1,2,2,35,1250,1,-4,-4,0.2,Mu1-const,NSWAP
357,25,1,2,3,137,1250,1,-8,-7,0.2,Mu1-const,NSWAP
534,25,1,2,4,51,1250,1,-5,-5,0.2,Mu1-const,NSWAP
761,25,1,2,5,87,1250,1,-9,-8,0.2,Mu1-const,NSWAP
1038,25,1,2,6,43,1250,1,-9,-8,0.2,Mu1-const,NSWAP
1365,25,1,2,7,33,1250,1,-8,-7,0.2,Mu1-const,NSWAP
1742,25,1,2,8,60,1250,1,-8,-7,0.2,Mu1-const,NSWAP
2169,25,1,2,9,52,1250,1,-7,-6,0.2,Mu1-const,NSWAP
2646,25,1,2,10,30,1250,1,-8,-8,0.2,Mu1-const,NSWAP
3173,25,1,2,11,54,1250,1,-8,-7,0.2,Mu1-const,NSWAP
3750,25,1,2,12,17,1250,1,-7,-6,0.2,Mu1-const,NSWAP
4377,25,1,2,13,213,1250,1,-9,-8,0.2,Mu1-const,NSWAP
5054,25,1,2,14,60,1250,1,-11,-11,0.2,Mu1-const,NSWAP
5781,25,1,2,15,55,1250,1,-8,-8,0.2,Mu1-const,NSWAP
6558,25,1,2,16,85,1250,1,-7,-6,0.2,Mu1-const,NSWAP
7385,25,1,2,17,722,1250,1,-8,-7,0.2,Mu1-const,NSWAP
8262,25,1,2,18,37,1250,1,-7,-6,0.2,Mu1-const,NSWAP
9189,25,1,2,19,130,1250,1,-7,-6,0.2,Mu1-const,NSWAP
10166,25,1,2,20,39,1250,1,-10,-9,0.2,Mu1-const,NSWAP
11193,25,1,2,21,106,1250,1,-9,-8,0.2,Mu1-const,NSWAP
12270,25,1,2,22,45,1250,1,-8,-7,0.2,Mu1-const,NSWAP
13397,25,1,2,23,1250,1250,0.916667,-6,-5,0.2,Mu1-const,NSWAP
14574,25,1,2,24,280,1250,1,-10,-9,0.2,Mu1-const,NSWAP
15801,25,1,2,25,38,1250,1,-10,-9,0.2,Mu1-const,NSWAP
17078,25,1,2,26,54,1250,1,-10,-9,0.2,Mu1-const,NSWAP
18405,25,1,2,27,157,1250,1,-8,-7,0.2,Mu1-const,NSWAP
19782,25,1,2,28,866,1250,1,-6,-5,0.2,Mu1-const,NSWAP
21209,25,1,2,29,26,1250,1,-9,-8,0.2,Mu1-const,NSWAP
2526,25,1,10,0,6250,6250,0.91371,-9,-8,0.2,Mu1-const,NSWAP
2553,25,1,10,1,6250,6250,0.855796,-8,-7,0.2,Mu1-const,NSWAP
2630,25,1,10,2,6250,6250,0.896997,-9,-8,0.2,Mu1-const,NSWAP
2757,25,1,10,3,6250,6250,0.897749,-9,-8,0.2,Mu1-const,NSWAP
2934,25,1,10,4,6250,6250,0.902778,-12,-10,0.2,Mu1-const,NSWAP
3161,25,1,10,5,6250,6250,0.687515,-4,-4,0.2,Mu1-const,NSWAP
3438,25,1,10,6,6250,6250,0.902778,-9,-8,0.2,Mu1-const,NSWAP
3765,25,1,10,7,6250,6250,0.886315,-10,-9,0.2,Mu1-const,NSWAP
4142,25,1,10,8,6250,6250,0.855129,-9,-8,0.2,Mu1-const,NSWAP
4569,25,1,10,9,6250,6250,0.893861,-7,-6,0.2,Mu1-const,NSWAP
5046,25,1,10,10,6250,6250,0.881333,-9,-8,0.2,Mu1-const,NSWAP
5573,25,1,10,11,6250,6250,0.909562,-8,-7,0.2,Mu1-const,NSWAP
6150,25,1,10,12,6250,6250,0.706093,-3,-3,0.2,Mu1-const,NSWAP
6777,25,1,10,13,6250,6250,0.881659,-9,-8,0.2,Mu1-const,NSWAP
7454,25,1,10,14,6250,6250,0.814076,-7,-6,0.2,Mu1-const,NSWAP
8181,25,1,10,15,6250,6250,0.906624,-9,-8,0.2,Mu1-const,NSWAP
8958,25,1,10,16,6250,6250,0.747849,-7,-6,0.2,Mu1-const,NSWAP
9785,25,1,10,17,6250,6250,0.83092,-10,-9,0.2,Mu1-const,NSWAP
10662,25,1,10,18,6250,6250,0.891881,-9,-8,0.2,Mu1-const,NSWAP
11589,25,1,10,19,6250,6250,0.924692,-12,-10,0.2,Mu1-const,NSWAP
12566,25,1,10,20,6250,6250,0.869267,-9,-8,0.2,Mu1-const,NSWAP
13593,25,1,10,21,6250,6250,0.736843,-4,-4,0.2,Mu1-const,NSWAP
14670,25,1,10,22,6250,6250,0.812423,-10,-9,0.2,Mu1-const,NSWAP
15797,25,1,10,23,6250,6250,0.832986,-10,-9,0.2,Mu1-const,NSWAP
16974,25,1,10,24,6250,6250,0.883963,-9,-8,0.2,Mu1-const,NSWAP
18201,25,1,10,25,6250,6250,0.741876,-4,-4,0.2,Mu1-const,NSWAP
19478,25,1,10,26,6250,6250,0.816688,-7,-6,0.2,Mu1-const,NSWAP
20805,25,1,10,27,6250,6250,0.934855,-12,-10,0.2,Mu1-const,NSWAP
22182,25,1,10,28,6250,6250,0.889237,-8,-7,0.2,Mu1-const,NSWAP
23609,25,1,10,29,6250,6250,0.89368,-10,-9,0.2,Mu1-const,NSWAP
15651,25,1,25,0,15625,15625,0.876701,-9,-8,0.2,Mu1-const,NSWAP
15678,25,1,25,1,15625,15625,0.840356,-8,-7,0.2,Mu1-const,NSWAP
15755,25,1,25,2,15625,15625,0.911155,-14,-12,0.2,Mu1-const,NSWAP
15882,25,1,25,3,15625,15625,0.874538,-9,-8,0.2,Mu1-const,NSWAP
16059,25,1,25,4,15625,15625,0.865715,-10,-9,0.2,Mu1-const,NSWAP
16286,25,1,25,5,15625,15625,0.860827,-9,-8,0.2,Mu1-const,NSWAP
16563,25,1,25,6,15625,15625,0.87323,-9,-8,0.2,Mu1-const,NSWAP
16890,25,1,25,7,15625,15625,0.86492,-8,-7,0.2,Mu1-const,NSWAP
17267,25,1,25,8,15625,15625,0.822342,-8,-7,0.2,Mu1-const,NSWAP
17694,25,1,25,9,15625,15625,0.816005,-7,-6,0.2,Mu1-const,NSWAP
18171,25,1,25,10,15625,15625,0.823092,-6,-5,0.2,Mu1-const,NSWAP
18698,25,1,25,11,15625,15625,0.851688,-9,-8,0.2,Mu1-const,NSWAP
19275,25,1,25,12,15625,15625,0.901018,-10,-9,0.2,Mu1-const,NSWAP
19902,25,1,25,13,15625,15625,0.856446,-8,-7,0.2,Mu1-const,NSWAP
20579,25,1,25,14,15625,15625,0.854484,-9,-8,0.2,Mu1-const,NSWAP
21306,25,1,25,15,15625,15625,0.856467,-10,-9,0.2,Mu1-const,NSWAP
