seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,init
6351,10,1,2,25,0.888889,6,0,Mu1-unconst,NSWAP,-1.0,1
6351,10,1,2,25,1.0,6,0,Mu1-unconst,NSWAP,-1.0,0
6863,10,1,2,26,0.888889,3,0,Mu1-unconst,NSWAP,3.0,1
6863,10,1,2,26,1.0,3,0,Mu1-unconst,NSWAP,3.0,0
7395,10,1,2,27,1.0,4,0,Mu1-unconst,NSWAP,-1.0,1
7395,10,1,2,27,1.0,4,0,Mu1-unconst,NSWAP,-1.0,0
7947,10,1,2,28,0.888889,4,0,Mu1-unconst,NSWAP,-1.0,1
7947,10,1,2,28,1.0,4,0,Mu1-unconst,NSWAP,-1.0,0
8519,10,1,2,29,0.888889,2,0,Mu1-unconst,NSWAP,-1.0,1
8519,10,1,2,29,1.0,2,0,Mu1-unconst,NSWAP,-1.0,0
1011,10,1,10,0,0.863414,4,0,Mu1-unconst,NSWAP,5.0,1
14574,25,1,2,24,0.958333,19,9,Mu1-unconst,NSWAP,-1.0,1
19275,25,1,25,12,0.949367,16,9,Mu1-unconst,NSWAP,18.0,1
126,25,1,2,0,1.0,19,9,Mu1-unconst,NSWAP,-1.0,0
153,25,1,2,1,0.958333,19,9,Mu1-unconst,NSWAP,-1.0,1
423,10,1,2,6,1.0,5,0,Mu1-unconst,NSWAP,-1.0,0
555,10,1,2,7,0.888889,5,0,Mu1-unconst,NSWAP,-1.0,1
555,10,1,2,7,1.0,5,0,Mu1-unconst,NSWAP,-1.0,0
707,10,1,2,8,0.888889,6,0,Mu1-unconst,NSWAP,-1.0,1
707,10,1,2,8,1.0,6,0,Mu1-unconst,NSWAP,-1.0,0
879,10,1,2,9,1.0,4,1,Mu1-unconst,NSWAP,-1.0,1
879,10,1,2,9,1.0,4,1,Mu1-unconst,NSWAP,-1.0,0
1071,10,1,2,10,0.888889,4,0,Mu1-unconst,NSWAP,-1.0,1
1071,10,1,2,10,1.0,4,0,Mu1-unconst,NSWAP,-1.0,0
1283,10,1,2,11,0.888889,5,0,Mu1-unconst,NSWAP,-1.0,1
1283,10,1,2,11,1.0,5,0,Mu1-unconst,NSWAP,-1.0,0
1515,10,1,2,12,0.888889,5,1,Mu1-unconst,NSWAP,5.0,1
1515,10,1,2,12,1.0,5,1,Mu1-unconst,NSWAP,-1.0,0
1767,10,1,2,13,1.0,4,0,Mu1-unconst,NSWAP,-1.0,1
1767,10,1,2,13,1.0,4,0,Mu1-unconst,NSWAP,-1.0,0
2039,10,1,2,14,0.888889,6,0,Mu1-unconst,NSWAP,-1.0,1
2039,10,1,2,14,1.0,6,0,Mu1-unconst,NSWAP,-1.0,0
2331,10,1,2,15,1.0,5,0,Mu1-unconst,NSWAP,5.0,1
2331,10,1,2,15,1.0,5,0,Mu1-unconst,NSWAP,5.0,0
2643,10,1,2,16,0.888889,3,2,Mu1-unconst,NSWAP,5.0,1
2643,10,1,2,16,1.0,3,2,Mu1-unconst,NSWAP,5.0,0
2975,10,1,2,17,0.888889,3,0,Mu1-unconst,NSWAP,-1.0,1
2975,10,1,2,17,1.0,3,0,Mu1-unconst,NSWAP,-1.0,0
3327,10,1,2,18,0.888889,5,0,Mu1-unconst,NSWAP,-1.0,1
3327,10,1,2,18,1.0,5,0,Mu1-unconst,NSWAP,-1.0,0
3699,10,1,2,19,0.888889,3,0,Mu1-unconst,NSWAP,-1.0,1
3699,10,1,2,19,1.0,3,0,Mu1-unconst,NSWAP,-1.0,0
14574,25,1,2,24,1.0,19,9,Mu1-unconst,NSWAP,-1.0,0
15801,25,1,2,25,1.0,20,9,Mu1-unconst,NSWAP,-1.0,1
153,25,1,2,1,1.0,19,9,Mu1-unconst,NSWAP,-1.0,0
230,25,1,2,2,1.0,18,4,Mu1-unconst,NSWAP,-1.0,1
4091,10,1,2,20,1.0,4,0,Mu1-unconst,NSWAP,-1.0,1
4091,10,1,2,20,1.0,4,0,Mu1-unconst,NSWAP,-1.0,0
4503,10,1,2,21,0.888889,5,1,Mu1-unconst,NSWAP,-1.0,1
4503,10,1,2,21,1.0,5,1,Mu1-unconst,NSWAP,-1.0,0
4935,10,1,2,22,1.0,3,0,Mu1-unconst,NSWAP,-1.0,1
4935,10,1,2,22,1.0,3,0,Mu1-unconst,NSWAP,-1.0,0
5387,10,1,2,23,0.777778,6,1,Mu1-unconst,NSWAP,7.0,1
5387,10,1,2,23,1.0,6,1,Mu1-unconst,NSWAP,-1.0,0
15801,25,1,2,25,1.0,20,9,Mu1-unconst,NSWAP,-1.0,0
17078,25,1,2,26,0.916667,20,9,Mu1-unconst,NSWAP,-1.0,1
230,25,1,2,2,1.0,18,4,Mu1-unconst,NSWAP,-1.0,0
357,25,1,2,3,0.958333,16,7,Mu1-unconst,NSWAP,16.0,1
17078,25,1,2,26,1.0,20,9,Mu1-unconst,NSWAP,-1.0,0
29099,50,1,2,24,0.979592,43,27,Mu1-unconst,NSWAP,-1.0,1
251,50,1,2,0,0.918367,44,24,Mu1-unconst,NSWAP,-1.0,1
357,25,1,2,3,1.0,16,7,Mu1-unconst,NSWAP,16.0,0
18405,25,1,2,27,0.958333,15,7,Mu1-unconst,NSWAP,-1.0,1
18405,25,1,2,27,1.0,15,7,Mu1-unconst,NSWAP,-1.0,0
534,25,1,2,4,0.916667,18,5,Mu1-unconst,NSWAP,-1.0,1
21287,50,1,10,18,0.977644,42,24,Mu1-unconst,NSWAP,-1.0,1
534,25,1,2,4,1.0,18,5,Mu1-unconst,NSWAP,-1.0,0
38525,50,1,25,12,0.971894,40,25,Mu1-unconst,NSWAP,44.0,1
761,25,1,2,5,1.0,19,8,Mu1-unconst,NSWAP,-1.0,1
19782,25,1,2,28,0.875,15,5,Mu1-unconst,NSWAP,-1.0,1
761,25,1,2,5,1.0,19,8,Mu1-unconst,NSWAP,-1.0,0
1038,25,1,2,6,0.958333,19,8,Mu1-unconst,NSWAP,-1.0,1
29099,50,1,2,24,1.0,43,27,Mu1-unconst,NSWAP,-1.0,0
19782,25,1,2,28,1.0,15,5,Mu1-unconst,NSWAP,-1.0,0
21209,25,1,2,29,0.958333,19,8,Mu1-unconst,NSWAP,-1.0,1
1038,25,1,2,6,1.0,18,8,Mu1-unconst,NSWAP,-1.0,0
1365,25,1,2,7,0.916667,16,7,Mu1-unconst,NSWAP,-1.0,1
1365,25,1,2,7,1.0,16,7,Mu1-unconst,NSWAP,-1.0,0
126863,50,1,50,6,0.972036,40,26,Mu1-unconst,NSWAP,44.0,1
21209,25,1,2,29,1.0,19,8,Mu1-unconst,NSWAP,-1.0,0
1742,25,1,2,8,1.0,19,7,Mu1-unconst,NSWAP,-1.0,1
1742,25,1,2,8,1.0,19,7,Mu1-unconst,NSWAP,-1.0,0
2526,25,1,10,0,0.928908,18,8,Mu1-unconst,NSWAP,-1.0,1
31551,50,1,2,25,0.959184,42,25,Mu1-unconst,NSWAP,42.0,1
251,50,1,2,0,1.0,43,24,Mu1-unconst,NSWAP,-1.0,0
2169,25,1,2,9,0.958333,18,6,Mu1-unconst,NSWAP,-1.0,1
2169,25,1,2,9,1.0,18,6,Mu1-unconst,NSWAP,-1.0,0
2646,25,1,2,10,1.0,19,8,Mu1-unconst,NSWAP,-1.0,1
2646,25,1,2,10,1.0,19,8,Mu1-unconst,NSWAP,-1.0,0
3173,25,1,2,11,1.0,17,7,Mu1-unconst,NSWAP,-1.0,1
3173,25,1,2,11,1.0,17,7,Mu1-unconst,NSWAP,-1.0,0
3750,25,1,2,12,0.958333,17,6,Mu1-unconst,NSWAP,-1.0,1
3750,25,1,2,12,1.0,17,6,Mu1-unconst,NSWAP,-1.0,0
4377,25,1,2,13,1.0,17,8,Mu1-unconst,NSWAP,-1.0,1
4377,25,1,2,13,1.0,17,8,Mu1-unconst,NSWAP,-1.0,0
5054,25,1,2,14,1.0,20,11,Mu1-unconst,NSWAP,22.0,1
5054,25,1,2,14,1.0,20,11,Mu1-unconst,NSWAP,22.0,0
5781,25,1,2,15,0.875,18,8,Mu1-unconst,NSWAP,-1.0,1
5781,25,1,2,15,1.0,18,8,Mu1-unconst,NSWAP,18.0,0
6558,25,1,2,16,0.958333,16,6,Mu1-unconst,NSWAP,-1.0,1
31551,50,1,2,25,1.0,42,25,Mu1-unconst,NSWAP,-1.0,0
6558,25,1,2,16,1.0,16,6,Mu1-unconst,NSWAP,-1.0,0
7385,25,1,2,17,0.875,18,7,Mu1-unconst,NSWAP,-1.0,1
7385,25,1,2,17,1.0,18,7,Mu1-unconst,NSWAP,-1.0,0
8262,25,1,2,18,0.875,20,6,Mu1-unconst,NSWAP,-1.0,1
8262,25,1,2,18,1.0,20,6,Mu1-unconst,NSWAP,-1.0,0
9189,25,1,2,19,1.0,18,6,Mu1-unconst,NSWAP,-1.0,1
9189,25,1,2,19,1.0,18,6,Mu1-unconst,NSWAP,-1.0,0
303,50,1,2,1,0.959184,45,29,Mu1-unconst,NSWAP,-1.0,1
10166,25,1,2,20,0.958333,19,9,Mu1-unconst,NSWAP,-1.0,1
10166,25,1,2,20,1.0,19,9,Mu1-unconst,NSWAP,-1.0,0
11193,25,1,2,21,0.916667,19,8,Mu1-unconst,NSWAP,-1.0,1
11193,25,1,2,21,1.0,19,8,Mu1-unconst,NSWAP,-1.0,0
12270,25,1,2,22,0.916667,17,7,Mu1-unconst,NSWAP,-1.0,1
34103,50,1,2,26,0.959184,43,25,Mu1-unconst,NSWAP,-1.0,1
12270,25,1,2,22,1.0,17,7,Mu1-unconst,NSWAP,-1.0,0
13397,25,1,2,23,0.958333,19,5,Mu1-unconst,NSWAP,-1.0,1
13397,25,1,2,23,1.0,19,5,Mu1-unconst,NSWAP,-1.0,0
303,50,1,2,1,1.0,45,29,Mu1-unconst,NSWAP,-1.0,0
34103,50,1,2,26,1.0,43,25,Mu1-unconst,NSWAP,-1.0,0
455,50,1,2,2,1.0,44,26,Mu1-unconst,NSWAP,-1.0,1
36755,50,1,2,27,0.979592,45,27,Mu1-unconst,NSWAP,-1.0,1
36755,50,1,2,27,1.0,45,27,Mu1-unconst,NSWAP,-1.0,0
455,50,1,2,2,1.0,44,26,Mu1-unconst,NSWAP,-1.0,0
39507,50,1,2,28,1.0,43,28,Mu1-unconst,NSWAP,-1.0,1
