seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,alpha,rob_test_0,rob_test_1,rob_test_2,rob_test_3,rob_test_4,rob_test_5,rob_test_6,rob_test_7,init
1034,5,1,2,14,0,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1034,5,1,2,14,1,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1181,5,1,2,15,0,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1181,5,1,2,15,1,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1338,5,1,2,16,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1338,5,1,2,16,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1505,5,1,2,17,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1505,5,1,2,17,1,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1682,5,1,2,18,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
23831,25,3,25,18,0.0416667,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,1
1682,5,1,2,18,1,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1869,5,1,2,19,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1869,5,1,2,19,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
