seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,rob_test_1,rob_test_2,rob_test_3,rob_test_4,rob_test_5,rob_test_6,rob_test_7,init
1034,5,1,2,14,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
1181,5,1,2,15,1.0,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
1181,5,1,2,15,1.0,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
10662,25,1,10,18,0.94878,17,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
4287,10,1,10,18,0.785953,3,2,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
51,10,1,2,0,1.0,4,1,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
51,10,1,2,0,1.0,4,1,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
63,10,1,2,1,0.777778,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
63,10,1,2,1,1.0,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
95,10,1,2,2,0.888889,2,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
95,10,1,2,2,1.0,2,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
147,10,1,2,3,0.666667,5,0,Mu1-unconst,NSWAP,-1.0,5.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
147,10,1,2,3,1.0,5,0,Mu1-unconst,NSWAP,-1.0,5.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
219,10,1,2,4,0.777778,3,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
219,10,1,2,4,1.0,3,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
311,10,1,2,5,0.777778,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
311,10,1,2,5,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
423,10,1,2,6,1.0,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
1338,5,1,2,16,0.75,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
1338,5,1,2,16,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
1505,5,1,2,17,0.75,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
1505,5,1,2,17,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
1682,5,1,2,18,0.75,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
1682,5,1,2,18,1.0,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
1869,5,1,2,19,0.0,2,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
1869,5,1,2,19,1.0,2,0,Mu1-unconst,NSWAP,-1.0,2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
2066,5,1,2,20,0.25,0,0,Mu1-unconst,NSWAP,0.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
2066,5,1,2,20,1.0,0,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
2273,5,1,2,21,0.75,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
2273,5,1,2,21,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
2490,5,1,2,22,1.0,0,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
2490,5,1,2,22,1.0,0,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
2717,5,1,2,23,0.75,0,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
2717,5,1,2,23,1.0,0,0,Mu1-unconst,NSWAP,-1.0,1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
