type,seed,n,m,mu,run,generations,max_generations,diversity,fitness,runtime
optimized,35457,40,1,10,28,786,16000,1,32,891
unoptimized,3791,30,1,10,5,627,9000,1,21,408
unoptimized,14313,40,1,10,16,568,16000,1,32,888
unoptimized,23445,40,1,10,22,331,16000,1,34,331
optimized,25247,40,1,10,23,484,16000,1,32,378
optimized,4689,40,1,10,4,684,16000,1,32,774
unoptimized,8061,40,1,10,10,654,16000,1,31,714
optimized,15635,40,1,10,17,889,16000,1,31,915
unoptimized,35457,40,1,10,28,693,16000,1,32,1075
optimized,8903,40,1,10,11,611,16000,1,31,509
unoptimized,25247,40,1,10,23,621,16000,1,32,676
unoptimized,8903,40,1,10,11,335,16000,1,33,342
unoptimized,15635,40,1,10,17,632,16000,1,33,675
unoptimized,4689,40,1,10,4,715,16000,1,30,1110
optimized,37739,40,1,10,29,635,16000,1,32,593
optimized,5051,40,1,10,5,677,16000,1,32,483
unoptimized,37739,40,1,10,29,600,16000,1,30,567
unoptimized,5051,40,1,10,5,596,16000,1,30,533
optimized,25041,40,1,25,0,10604,40000,1,31,48767
optimized,48129,40,1,25,24,11530,40000,1,31,51420
optimized,38037,40,1,25,18,13407,40000,1,32,60313
optimized,28537,30,1,25,18,22500,22500,0.996018,20,62567
optimized,19873,30,1,25,6,22500,22500,0.994733,22,63238
optimized,23125,30,1,25,12,22500,22500,0.994733,21,63585
optimized,18781,30,1,25,0,22500,22500,0.996018,21,63926
optimized,36109,30,1,25,24,22500,22500,0.993704,22,64430
optimized,30825,40,1,25,12,14596,40000,1,30,64855
optimized,26493,40,1,25,6,15504,40000,1,31,68602
unoptimized,25041,40,1,25,0,10486,40000,1,28,63275
unoptimized,30825,40,1,25,12,11210,40000,1,31,67183
unoptimized,38037,40,1,25,18,11988,40000,1,30,72449
unoptimized,48129,40,1,25,24,13598,40000,1,30,81821
unoptimized,28537,30,1,25,18,22500,22500,0.994027,21,82287
unoptimized,23125,30,1,25,12,22500,22500,0.995548,22,83053
unoptimized,18781,30,1,25,0,22500,22500,0.995548,19,82722
unoptimized,19873,30,1,25,6,22500,22500,0.995123,21,83584
unoptimized,36109,30,1,25,24,22500,22500,0.995548,22,82838
unoptimized,26493,40,1,25,6,14653,40000,1,29,87960
optimized,25083,40,1,25,1,11842,40000,1,31,51097
optimized,50091,40,1,25,25,10554,40000,1,32,44708
optimized,39519,40,1,25,19,12152,40000,1,31,52392
optimized,31827,40,1,25,13,12613,40000,1,31,53899
optimized,29649,30,1,25,19,22500,22500,0.998009,20,60772
optimized,23877,30,1,25,13,22500,22500,0.996018,19,60516
optimized,18813,30,1,25,1,22500,22500,0.996018,20,60946
optimized,20265,30,1,25,7,22500,22500,0.995548,20,61320
optimized,37581,30,1,25,25,22500,22500,0.995548,20,61147
optimized,27015,40,1,25,7,13702,40000,1,32,58891
unoptimized,25083,40,1,25,1,9417,40000,1,32,56407
unoptimized,50091,40,1,25,25,8005,40000,1,32,48815
unoptimized,39519,40,1,25,19,7933,40000,1,30,48102
optimized,25205,40,1,25,2,7132,40000,1,33,30848
optimized,52133,40,1,25,26,9310,40000,1,30,39784
unoptimized,27015,40,1,25,7,10069,40000,1,31,60631
unoptimized,31827,40,1,25,13,15832,40000,1,31,95788
optimized,41081,40,1,25,20,12485,40000,1,32,52978
unoptimized,29649,30,1,25,19,22500,22500,0.996552,18,83736
unoptimized,23877,30,1,25,13,22500,22500,0.994733,18,84045
unoptimized,18813,30,1,25,1,22500,22500,0.995123,19,84089
unoptimized,20265,30,1,25,7,22500,22500,0.994733,20,84386
unoptimized,37581,30,1,25,25,22500,22500,0.995123,22,84154
unoptimized,52133,40,1,25,26,6941,40000,1,30,41537
optimized,27617,40,1,25,8,12155,40000,1,33,51887
unoptimized,25205,40,1,25,2,13511,40000,1,31,82516
optimized,32909,40,1,25,14,13725,40000,1,31,58194
optimized,54255,40,1,25,27,9203,40000,1,30,39671
optimized,30821,30,1,25,20,22500,22500,0.995548,23,61068
optimized,24689,30,1,25,14,22500,22500,0.995548,21,61358
optimized,18905,30,1,25,2,22500,22500,0.993397,20,60898
optimized,20717,30,1,25,8,22500,22500,0.994733,21,60932
optimized,39113,30,1,25,26,22500,22500,0.996018,21,61556
optimized,25407,40,1,25,3,8840,40000,1,32,37814
unoptimized,41081,40,1,25,20,14787,40000,1,32,89311
unoptimized,27617,40,1,25,8,10138,40000,1,32,61677
unoptimized,54255,40,1,25,27,10932,40000,1,30,66585
optimized,42723,40,1,25,21,11796,40000,1,33,50438
unoptimized,25407,40,1,25,3,9526,40000,1,32,57477
unoptimized,30821,30,1,25,20,22500,22500,0.994733,22,84118
unoptimized,18905,30,1,25,2,22500,22500,0.996018,21,83158
unoptimized,20717,30,1,25,8,22500,22500,0.996552,21,82865
unoptimized,39113,30,1,25,26,22500,22500,0.995123,20,82722
unoptimized,24689,30,1,25,14,22500,22500,0.996018,22,84549
optimized,28299,40,1,25,9,11042,40000,1,31,47641
unoptimized,32909,40,1,25,14,16897,40000,1,30,102263
optimized,25689,40,1,25,4,13251,40000,1,31,56807
optimized,56457,40,1,25,28,18132,40000,1,32,78158
optimized,32053,30,1,25,21,22500,22500,0.996018,20,60630
optimized,19057,30,1,25,3,22500,22500,0.997184,22,60999
optimized,21229,30,1,25,9,22500,22500,0.995123,20,61012
optimized,40705,30,1,25,27,22500,22500,0.995123,23,60797
optimized,25561,30,1,25,15,22500,22500,0.995123,21,61833
optimized,34071,40,1,25,15,15279,40000,1,31,65398
unoptimized,42723,40,1,25,21,15645,40000,1,33,93453
unoptimized,28299,40,1,25,9,18234,40000,1,31,110181
unoptimized,25689,40,1,25,4,13724,40000,1,31,82939
optimized,44445,40,1,25,22,11500,40000,1,31,49050
unoptimized,32053,30,1,25,21,22500,22500,0.995548,20,83667
unoptimized,19057,30,1,25,3,22500,22500,0.998009,22,83175
unoptimized,40705,30,1,25,27,22500,22500,0.994733,20,83258
unoptimized,21229,30,1,25,9,22500,22500,0.995548,20,83759
unoptimized,25561,30,1,25,15,22500,22500,0.995123,21,84028
unoptimized,56457,40,1,25,28,16817,40000,1,31,102071
optimized,29061,40,1,25,10,11714,40000,1,30,50669
unoptimized,34071,40,1,25,15,17131,40000,1,31,102969
optimized,26051,40,1,25,5,14065,40000,1,31,60363
unoptimized,44445,40,1,25,22,10778,40000,1,31,65189
optimized,33345,30,1,25,22,22500,22500,0.998009,22,61380
optimized,19269,30,1,25,4,22500,22500,0.994027,21,60899
optimized,42357,30,1,25,28,22500,22500,0.996018,21,60859
optimized,58739,40,1,25,29,11060,40000,1,30,47697
optimized,21801,30,1,25,10,22500,22500,0.995548,21,61526
optimized,26493,30,1,25,16,22500,22500,0.994733,21,61434
optimized,35313,40,1,25,16,10036,40000,1,32,42837
unoptimized,29061,40,1,25,10,10323,40000,1,31,62294
optimized,46247,40,1,25,23,10036,40000,1,29,43426
unoptimized,58739,40,1,25,29,8615,40000,1,31,51974
unoptimized,26051,40,1,25,5,14190,40000,1,30,85588
optimized,29903,40,1,25,11,12681,40000,1,30,54675
unoptimized,33345,30,1,25,22,22500,22500,0.995548,22,82685
unoptimized,19269,30,1,25,4,22500,22500,0.996552,22,83075
unoptimized,42357,30,1,25,28,22500,22500,0.995548,21,82612
unoptimized,21801,30,1,25,10,22500,22500,0.995548,20,83005
unoptimized,26493,30,1,25,16,22500,22500,0.997184,20,82735
unoptimized,46247,40,1,25,23,9210,40000,1,33,54151
unoptimized,29903,40,1,25,11,8585,40000,1,31,48553
unoptimized,35313,40,1,25,16,21197,40000,1,31,124326
optimized,34697,30,1,25,23,22500,22500,0.996018,22,56737
optimized,44069,30,1,25,29,22500,22500,0.995548,20,55893
optimized,19541,30,1,25,5,22500,22500,0.994733,20,57493
optimized,22433,30,1,25,11,22500,22500,0.995548,22,56702
optimized,27485,30,1,25,17,22500,22500,0.996018,22,56680
optimized,36635,40,1,25,17,10948,40000,1,31,43180
unoptimized,44069,30,1,25,29,22500,22500,0.994733,20,75869
unoptimized,34697,30,1,25,23,22500,22500,0.996018,22,76573
unoptimized,27485,30,1,25,17,22500,22500,0.996018,22,74840
unoptimized,19541,30,1,25,5,22500,22500,0.995548,21,77421
unoptimized,22433,30,1,25,11,22500,22500,0.996552,21,76503
unoptimized,36635,40,1,25,17,10126,40000,1,31,54161
